State,Month,Helpline_Name,Calls_Received,Calls_Answered,Avg_Wait_Seconds,Successful_Interventions,Meta
maharashtra,08/2017,iCALL,153,24,197.75,22,"{'region_coordinator': 'C', 'notes': None}"
Maharashtra,09/2017,Vandrevala Foundation,1045,572,292.49,7,"{'region_coordinator': 'A', 'notes': ''}"
MAHARASHTRA,2017-10,Vandrevala Foundation,412,146,81.56,47,"{'region_coordinator': 'B', 'notes': ''}"
Maharashtra,2017-11,AASRA,870,514,71.88,20,"{""region_coordinator"": ""A"", ""notes"": """"}"
maharashtra,12/2017,Vandrevala Foundation,939k,899,143.53,44,"{'region_coordinator': 'C', 'notes': 'covered schools'}"
Maharashtra,01/2018,iCALL,711,261,192.72,42,"{""region_coordinator"": ""C"", ""notes"": ""camp in rural area""}"
Maharashtra,02/2018,AASRA,829,192,296.59,14,"{""region_coordinator"": ""A"", ""notes"": null}"
Maharashtra,03/2018,Samaritans,1655,724,173.62,10,"{'region_coordinator': 'C', 'notes': None}"
Maharashtra,2018-04,iCALL,567,540,55.01,11,"{""region_coordinator"": ""A"", ""notes"": ""covered schools""}"
MAHARASHTRA,2018-05,Samaritans,84,20,208.75,4,"{'region_coordinator': 'B', 'notes': 'camp in rural area'}"
maharashtra,06/2018,iCALL,950,589,289.63,48,"{'region_coordinator': 'C', 'notes': 'camp in rural area'}"
Maharashtra,2018-07,Snehi,264,68,133.91,20,"{'region_coordinator': 'C', 'notes': ''}"
Maharashtra,08/2018,Snehi,640,549,267.66,35,"{'region_coordinator': 'A', 'notes': None}"
Maharashtra,2018-09,AASRA,414,93,271.75,26,"{""region_coordinator"": ""A"", ""notes"": ""covered schools""}"
maharashtra,10/2018,Vandrevala Foundation,49k,49,185.66,2,"{""region_coordinator"": ""D"", ""notes"": null}"
MAHARASHTRA,2018-11,Samaritans,1038,136,150.5,36,"{""region_coordinator"": ""D"", ""notes"": ""camp in rural area""}"
Maharashtra,12/2018,Vandrevala Foundation,1854,903,241.53,1,"{'region_coordinator': 'A', 'notes': 'camp in rural area'}"
MAHARASHTRA,01/2019,iCALL,21,10,136.77,7,"{'region_coordinator': 'B', 'notes': 'covered schools'}"
Maharashtra,02/2019,iCALL,962,883,273.38,15,"{'region_coordinator': 'C', 'notes': ''}"
Maharashtra,03/2019,iCALL,1153,274,297.96,43,"{""region_coordinator"": ""B"", ""notes"": null}"
maharashtra,04/2019,AASRA,618,402,194.97,46,"{""region_coordinator"": ""A"", ""notes"": ""covered schools""}"
Maharashtra,05/2019,Snehi,1933,1412,289.49,46,"{""region_coordinator"": ""D"", ""notes"": ""camp in rural area""}"
maharashtra,06/2019,iCALL,493,13,52.51,3,"{""region_coordinator"": ""B"", ""notes"": ""camp in rural area""}"
Maharashtra,07/2019,Vandrevala Foundation,618,373,111.31,33,"{""region_coordinator"": ""B"", ""notes"": ""covered schools""}"
Maharashtra,08/2019,AASRA,404,58,90.4,11,"{""region_coordinator"": ""C"", ""notes"": """"}"
Maharashtra,09/2019,iCALL,973,108,162.79,44,"{""region_coordinator"": ""D"", ""notes"": """"}"
maharashtra,2019-10,Snehi,641k,641,178.97,42,"{""region_coordinator"": ""A"", ""notes"": """"}"
Maharashtra,11/2019,AASRA,395,173,172.24,40,"{'region_coordinator': 'A', 'notes': None}"
Maharashtra,12/2019,aasra,242,24,182.92,1,"{""region_coordinator"": ""B"", ""notes"": ""covered schools""}"
MAHARASHTRA,01/2020,iCALL,113k,98,15.87,19,"{'region_coordinator': 'B', 'notes': None}"
Maharashtra,02/2020,AASRA,558,555,49.69,31,"{'region_coordinator': 'B', 'notes': 'camp in rural area'}"
Maharashtra,03/2020,Vandrevala Foundation,788k,481,144.25,19,"{""region_coordinator"": ""B"", ""notes"": null}"
maharashtra,2020-04,AASRA,587,516,298.65,49,"{""region_coordinator"": ""C"", ""notes"": ""covered schools""}"
MAHARASHTRA,05/2020,Vandrevala Foundation,739,227,223.69,35,"{'region_coordinator': 'A', 'notes': 'camp in rural area'}"
Maharashtra,06/2020,AASRA,544,464,130.39,11,"{'region_coordinator': 'D', 'notes': 'covered schools'}"
Maharashtra,07/2020,Samaritans,1670,541,265.82,2,"{""region_coordinator"": ""C"", ""notes"": ""covered schools""}"
Maharashtra,08/2020,iCALL,814,735,227.48,45,"{""region_coordinator"": ""C"", ""notes"": null}"
Maharashtra,09/2020,AASRA,1359,890,280.56,21,"{""region_coordinator"": ""D"", ""notes"": ""covered schools""}"
Maharashtra,10/2020,Vandrevala Foundation,784,239,60.35,24,"{'region_coordinator': 'C', 'notes': 'camp in rural area'}"
Maharashtra,11/2020,Vandrevala Foundation,284,41,187.77,15,"{""region_coordinator"": ""A"", ""notes"": null}"
Maharashtra,12/2020,Snehi,757,654,214.27,9,"{""region_coordinator"": ""D"", ""notes"": ""camp in rural area""}"
MAHARASHTRA,01/2021,iCALL,1863,872,104.88,18,"{'region_coordinator': 'C', 'notes': ''}"
Maharashtra,02/2021,Vandrevala Foundation,653,108,242.84,2,"{""region_coordinator"": ""C"", ""notes"": ""camp in rural area""}"
maharashtra,03/2021,AASRA,1481,26,49.65,18,"{'region_coordinator': 'B', 'notes': ''}"
Maharashtra,04/2021,Vandrevala Foundation,969,292,5.63,1,"{'region_coordinator': 'B', 'notes': None}"
Maharashtra,05/2021,AASRA,656,391,80.45,26,"{""region_coordinator"": ""D"", ""notes"": ""covered schools""}"
Maharashtra,06/2021,Snehi,1993,1491,125.5,18,"{""region_coordinator"": ""C"", ""notes"": ""covered schools""}"
Maharashtra,07/2021,iCALL,1139,1113,137.6,15,"{""region_coordinator"": ""D"", ""notes"": ""covered schools""}"
MAHARASHTRA,08/2021,Snehi,1725,1217,40.38,38,"{'region_coordinator': 'B', 'notes': None}"
Maharashtra,09/2021,Samaritans,1539,198,49.99,6,"{'region_coordinator': 'A', 'notes': None}"
MAHARASHTRA,10/2021,Samaritans,1969,1635,154.31,34,"{'region_coordinator': 'B', 'notes': 'covered schools'}"
maharashtra,11/2021,samaritans,1283,76,125.46,36,"{""region_coordinator"": ""C"", ""notes"": """"}"
MAHARASHTRA,12/2021,Snehi,1592,1185,240.57,41,"{'region_coordinator': 'C', 'notes': None}"
Maharashtra,01/2022,Samaritans,1,1,54.03,1,"{""region_coordinator"": ""C"", ""notes"": ""covered schools""}"
MAHARASHTRA,02/2022,Snehi,1692,1118,27.67,24,"{'region_coordinator': 'C', 'notes': 'camp in rural area'}"
maharashtra,03/2022,AASRA,732,622,185.72,6,"{'region_coordinator': 'D', 'notes': 'covered schools'}"
maharashtra,04/2022,iCALL,1469,1180,239.48,47,"{""region_coordinator"": ""D"", ""notes"": ""covered schools""}"
Maharashtra,05/2022,Snehi,48,48,8.03,43,"{""region_coordinator"": ""A"", ""notes"": null}"
Maharashtra,06/2022,AASRA,827,477,192.32,4,"{'region_coordinator': 'C', 'notes': None}"
Maharashtra,07/2022,Samaritans,1680,620,243.22,30,"{""region_coordinator"": ""A"", ""notes"": ""camp in rural area""}"
Maharashtra,08/2022,iCALL,1073,973,200.97,45,"{'region_coordinator': 'B', 'notes': None}"
Maharashtra,09/2022,iCALL,1061,459,218.38,14,"{""region_coordinator"": ""B"", ""notes"": ""covered schools""}"
Maharashtra,10/2022,Vandrevala Foundation,1366,269,203.55,24,"{'region_coordinator': 'D', 'notes': 'camp in rural area'}"
Maharashtra,11/2022,Samaritans,1837,1627,261.91,9,"{'region_coordinator': 'C', 'notes': 'covered schools'}"
Maharashtra,12/2022,iCALL,209,26,136.09,8,"{""region_coordinator"": ""A"", ""notes"": ""camp in rural area""}"
TamilNadu,01/2015,iCALL,946,551,276.28,21,"{'region_coordinator': 'A', 'notes': None}"
Tamil Nadu,02/2015,Samaritans,176,42,9.05,3,"{""region_coordinator"": ""B"", ""notes"": ""covered schools""}"
Tamil-Nadu,03/2015,Vandrevala Foundation,601,65,192.26,4,"{""region_coordinator"": ""B"", ""notes"": ""covered schools""}"
TamilNadu,04/2015,Snehi,1368k,1254,230.34,11,"{""region_coordinator"": ""C"", ""notes"": ""camp in rural area""}"
TamilNadu,2015-05,iCALL,524,81,109.55,5,"{""region_coordinator"": ""D"", ""notes"": ""covered schools""}"
TamilNadu,06/2015,Snehi,304,44,235.17,15,"{""region_coordinator"": ""A"", ""notes"": null}"
TAMIL NADU,07/2015,AASRA,650,358,27.17,3,"{""region_coordinator"": ""B"", ""notes"": ""camp in rural area""}"
TAMIL NADU,08/2015,iCALL,859k,310,29.25,44,"{""region_coordinator"": ""A"", ""notes"": null}"
Tamil Nadu,09/2015,Samaritans,1084,816,33.06,46,"{'region_coordinator': 'D', 'notes': None}"
Tamil Nadu,10/2015,AASRA,1103,835,140.13,11,"{""region_coordinator"": ""D"", ""notes"": null}"
TamilNadu,11/2015,Samaritans,342,122,245.51,18,"{""region_coordinator"": ""D"", ""notes"": ""covered schools""}"
Tamil-Nadu,12/2015,vandrevala foundation,1243,1041,128.88,9,"{'region_coordinator': 'B', 'notes': None}"
TamilNadu,01/2016,Snehi,1893,1003,157.27,48,"{""region_coordinator"": ""D"", ""notes"": """"}"
TamilNadu,02/2016,Snehi,1196,1046,94.22,43,"{""region_coordinator"": ""D"", ""notes"": ""covered schools""}"
tamil nadu,03/2016,Snehi,601,298,295.63,1,"{""region_coordinator"": ""A"", ""notes"": ""covered schools""}"
TAMIL NADU,04/2016,Samaritans,223,138,145.73,12,"{""region_coordinator"": ""C"", ""notes"": ""camp in rural area""}"
TAMIL NADU,05/2016,Samaritans,1386,221,48.78,3,"{""region_coordinator"": ""D"", ""notes"": ""covered schools""}"
tamil nadu,06/2016,Snehi,1160,297,54.19,15,"{'region_coordinator': 'A', 'notes': ''}"
TAMIL NADU,07/2016,Snehi,34,34,114.53,6,"{""region_coordinator"": ""A"", ""notes"": """"}"
tamil nadu,08/2016,Snehi,1887,342,57.0,12,"{'region_coordinator': 'D', 'notes': 'camp in rural area'}"
Tamil Nadu,09/2016,Snehi,269,269,287.23,25,"{""region_coordinator"": ""B"", ""notes"": ""camp in rural area""}"
Tamil Nadu,10/2016,Vandrevala Foundation,145,71,202.98,27,"{'region_coordinator': 'C', 'notes': None}"
TamilNadu,11/2016,Samaritans,1133,654,150.71,13,"{""region_coordinator"": ""B"", ""notes"": ""camp in rural area""}"
TamilNadu,2016-12,AASRA,1353,425,210.98,7,"{""region_coordinator"": ""B"", ""notes"": """"}"
TamilNadu,01/2017,AASRA,117,13,237.01,11,"{""region_coordinator"": ""A"", ""notes"": null}"
TAMIL NADU,02/2017,Snehi,1765,1378,228.67,21,"{'region_coordinator': 'A', 'notes': 'camp in rural area'}"
TamilNadu,03/2017,iCALL,1384,758,110.2,42,"{""region_coordinator"": ""B"", ""notes"": ""camp in rural area""}"
TamilNadu,04/2017,AASRA,203,170,70.71,3,"{""region_coordinator"": ""B"", ""notes"": ""covered schools""}"
tamil nadu,2017-05,iCALL,125,7,94.98,0,"{""region_coordinator"": ""C"", ""notes"": null}"
TAMIL NADU,06/2017,Vandrevala Foundation,1357,644,7.61,50,"{""region_coordinator"": ""C"", ""notes"": null}"
TamilNadu,07/2017,AASRA,1294,476,93.84,28,"{'region_coordinator': 'B', 'notes': None}"
Tamil Nadu,08/2017,Snehi,946,279,232.9,39,"{""region_coordinator"": ""D"", ""notes"": ""covered schools""}"
TamilNadu,09/2017,Snehi,470,92,41.53,19,"{""region_coordinator"": ""B"", ""notes"": null}"
Tamil Nadu,10/2017,Snehi,1473,753,227.49,25,"{""region_coordinator"": ""A"", ""notes"": ""covered schools""}"
TAMIL NADU,2017-11,iCALL,1797,203,170.34,4,"{""region_coordinator"": ""D"", ""notes"": ""covered schools""}"
TAMIL NADU,12/2017,Samaritans,935,317,253.96,14,"{""region_coordinator"": ""B"", ""notes"": null}"
tamil nadu,01/2018,iCALL,1825,412,42.79,11,"{""region_coordinator"": ""A"", ""notes"": null}"
tamil nadu,02/2018,iCALL,1953,900,43.43,32,"{""region_coordinator"": ""D"", ""notes"": null}"
TAMIL NADU,03/2018,iCALL,1330,1004,18.17,10,"{'region_coordinator': 'C', 'notes': 'camp in rural area'}"
TamilNadu,04/2018,Snehi,930,404,60.01,14,"{""region_coordinator"": ""D"", ""notes"": ""camp in rural area""}"
TamilNadu,05/2018,iCALL,285,206,237.48,35,"{'region_coordinator': 'A', 'notes': 'camp in rural area'}"
Tamil-Nadu,06/2018,Snehi,1492,795,131.87,35,"{""region_coordinator"": ""C"", ""notes"": ""covered schools""}"
Tamil-Nadu,07/2018,Samaritans,1231,983,75.22,48,"{'region_coordinator': 'C', 'notes': 'covered schools'}"
Tamil-Nadu,08/2018,iCALL,1003,472,19.67,16,"{""region_coordinator"": ""B"", ""notes"": ""camp in rural area""}"
tamil nadu,09/2018,AASRA,289,132,24.0,45,"{""region_coordinator"": ""C"", ""notes"": ""covered schools""}"
TAMIL NADU,2018-10,Snehi,83,0,18.07,0,"{'region_coordinator': 'D', 'notes': 'covered schools'}"
tamil nadu,11/2018,Snehi,427,322,208.88,29,"{""region_coordinator"": ""C"", ""notes"": ""camp in rural area""}"
Tamil Nadu,12/2018,Snehi,377,377,18.1,46,"{'region_coordinator': 'B', 'notes': 'camp in rural area'}"
TAMIL NADU,01/2019,Vandrevala Foundation,921,815,261.29,31,"{""region_coordinator"": ""D"", ""notes"": ""covered schools""}"
TamilNadu,02/2019,Vandrevala Foundation,242,242,161.41,46,"{""region_coordinator"": ""B"", ""notes"": null}"
tamil nadu,03/2019,iCALL,222,25,134.89,6,"{""region_coordinator"": ""A"", ""notes"": null}"
TAMIL NADU,04/2019,iCALL,260k,200,26.09,10,"{""region_coordinator"": ""C"", ""notes"": ""covered schools""}"
TAMIL NADU,05/2019,Snehi,1938,1329,119.76,31,"{'region_coordinator': 'A', 'notes': None}"
tamil nadu,06/2019,AASRA,328,328,16.61,47,"{""region_coordinator"": ""C"", ""notes"": """"}"
TAMIL NADU,07/2019,AASRA,1248,965,296.08,29,"{""region_coordinator"": ""A"", ""notes"": null}"
tamil nadu,08/2019,iCALL,8,8,113.99,6,"{'region_coordinator': 'A', 'notes': None}"
tamil nadu,09/2019,Vandrevala Foundation,538,124,67.44,48,"{""region_coordinator"": ""B"", ""notes"": ""covered schools""}"
tamil nadu,10/2019,iCALL,301,232,146.37,47,"{""region_coordinator"": ""A"", ""notes"": ""camp in rural area""}"
TAMIL NADU,11/2019,Snehi,1024k,170,87.42,48,"{'region_coordinator': 'D', 'notes': None}"
TAMIL NADU,12/2019,Samaritans,1840,1160,261.86,14,"{'region_coordinator': 'A', 'notes': None}"
tamil nadu,01/2020,AASRA,583,90,282.63,24,"{""region_coordinator"": ""C"", ""notes"": """"}"
Tamil Nadu,02/2020,icall,1167,1167,289.06,36,"{""region_coordinator"": ""C"", ""notes"": null}"
Tamil-Nadu,03/2020,Vandrevala Foundation,1343,407,267.48,23,"{""region_coordinator"": ""B"", ""notes"": ""covered schools""}"
Tamil Nadu,04/2020,Vandrevala Foundation,1180,967,127.28,34,"{'region_coordinator': 'C', 'notes': 'camp in rural area'}"
Tamil Nadu,05/2020,iCALL,1232,1220,220.15,35,"{""region_coordinator"": ""D"", ""notes"": """"}"
TamilNadu,2020-06,AASRA,1718,1461,92.61,30,"{'region_coordinator': 'B', 'notes': None}"
TAMIL NADU,07/2020,AASRA,81,8,74.32,2,"{'region_coordinator': 'B', 'notes': None}"
Tamil Nadu,08/2020,Samaritans,1331,1019,287.24,11,"{""region_coordinator"": ""D"", ""notes"": ""covered schools""}"
TamilNadu,09/2020,AASRA,590k,324,42.61,4,"{""region_coordinator"": ""D"", ""notes"": ""camp in rural area""}"
Tamil-Nadu,10/2020,Vandrevala Foundation,550,220,286.28,47,"{'region_coordinator': 'D', 'notes': ''}"
Tamil Nadu,11/2020,Samaritans,862,702,228.13,9,"{'region_coordinator': 'D', 'notes': 'camp in rural area'}"
TamilNadu,12/2020,Snehi,894,578,267.52,49,"{'region_coordinator': 'B', 'notes': ''}"
Tamil Nadu,01/2021,iCALL,570,123,299.66,14,"{'region_coordinator': 'C', 'notes': 'camp in rural area'}"
TamilNadu,02/2021,iCALL,1594,740,184.34,6,"{'region_coordinator': 'B', 'notes': 'covered schools'}"
Tamil-Nadu,03/2021,AASRA,570,233,206.06,7,"{""region_coordinator"": ""A"", ""notes"": """"}"
TAMIL NADU,04/2021,AASRA,1252,145,93.2,46,"{""region_coordinator"": ""B"", ""notes"": ""covered schools""}"
Tamil-Nadu,05/2021,Vandrevala Foundation,1016,278,85.97,10,"{'region_coordinator': 'A', 'notes': 'camp in rural area'}"
TamilNadu,06/2021,iCALL,966,576,116.54,20,"{""region_coordinator"": ""B"", ""notes"": ""covered schools""}"
TamilNadu,07/2021,Vandrevala Foundation,22,22,126.08,13,"{'region_coordinator': 'A', 'notes': 'covered schools'}"
TAMIL NADU,08/2021,Samaritans,969,580,239.2,23,"{""region_coordinator"": ""B"", ""notes"": null}"
Tamil-Nadu,09/2021,Vandrevala Foundation,341,28,113.23,18,"{""region_coordinator"": ""C"", ""notes"": null}"
TAMIL NADU,10/2021,Samaritans,927,23,202.76,8,"{'region_coordinator': 'B', 'notes': ''}"
Tamil-Nadu,11/2021,Vandrevala Foundation,408,257,222.96,22,"{'region_coordinator': 'A', 'notes': 'camp in rural area'}"
tamil nadu,12/2021,Vandrevala Foundation,517,489,33.32,25,"{'region_coordinator': 'D', 'notes': ''}"
tamil nadu,01/2022,AASRA,398,186,184.86,35,"{""region_coordinator"": ""C"", ""notes"": """"}"
Tamil-Nadu,2022-02,Samaritans,1849k,343,143.58,40,"{'region_coordinator': 'B', 'notes': ''}"
Tamil-Nadu,03/2022,Samaritans,1731,1375,161.19,8,"{""region_coordinator"": ""A"", ""notes"": """"}"
Tamil-Nadu,04/2022,Vandrevala Foundation,530,530,262.69,6,"{'region_coordinator': 'A', 'notes': 'covered schools'}"
Tamil Nadu,05/2022,AASRA,1049,771,111.98,33,"{'region_coordinator': 'C', 'notes': ''}"
TamilNadu,06/2022,Vandrevala Foundation,842,173,253.63,47,"{'region_coordinator': 'C', 'notes': ''}"
tamil nadu,07/2022,vandrevala foundation,623,551,170.75,23,"{'region_coordinator': 'D', 'notes': ''}"
TamilNadu,08/2022,AASRA,836k,137,114.56,0,"{'region_coordinator': 'B', 'notes': ''}"
TamilNadu,2022-09,AASRA,442,24,18.19,8,"{""region_coordinator"": ""D"", ""notes"": """"}"
TAMIL NADU,10/2022,AASRA,486,486,105.39,32,"{'region_coordinator': 'C', 'notes': None}"
Tamil-Nadu,11/2022,Samaritans,759,219,278.62,48,"{""region_coordinator"": ""A"", ""notes"": """"}"
Tamil Nadu,12/2022,Snehi,1074,954,255.75,42,"{'region_coordinator': 'C', 'notes': 'camp in rural area'}"
Kerala,01/2015,AASRA,1548,1187,249.84,9,"{""region_coordinator"": ""B"", ""notes"": null}"
KERALA,02/2015,Vandrevala Foundation,1094,401,159.01,27,"{'region_coordinator': 'A', 'notes': ''}"
Kerala,03/2015,Samaritans,411,39,47.41,34,"{'region_coordinator': 'D', 'notes': 'covered schools'}"
Kerala,04/2015,Samaritans,1273,44,277.39,43,"{'region_coordinator': 'D', 'notes': 'covered schools'}"
KERALA,05/2015,Snehi,15,15,223.24,13,"{""region_coordinator"": ""B"", ""notes"": ""covered schools""}"
KERALA,06/2015,AASRA,1155,194,242.04,24,"{'region_coordinator': 'D', 'notes': 'covered schools'}"
kerala,07/2015,AASRA,35,35,31.52,13,"{""region_coordinator"": ""B"", ""notes"": null}"
KERALA,08/2015,Vandrevala Foundation,1679,337,289.31,34,"{'region_coordinator': 'D', 'notes': 'covered schools'}"
Kerala,09/2015,AASRA,294,205,63.67,19,"{'region_coordinator': 'D', 'notes': ''}"
KERALA,10/2015,iCALL,288,248,270.62,1,"{'region_coordinator': 'D', 'notes': 'covered schools'}"
Kerala,11/2015,Vandrevala Foundation,1328,445,73.71,15,"{'region_coordinator': 'D', 'notes': 'camp in rural area'}"
kerala,2015-12,iCALL,293,88,125.14,21,"{""region_coordinator"": ""D"", ""notes"": """"}"
Kerala,01/2016,Vandrevala Foundation,1336,185,161.19,34,"{""region_coordinator"": ""D"", ""notes"": null}"
kerala,02/2016,Samaritans,1410,581,25.61,19,"{'region_coordinator': 'B', 'notes': None}"
Kerala,03/2016,Samaritans,638,638,45.26,45,"{'region_coordinator': 'D', 'notes': None}"
kerala,2016-04,AASRA,1870k,63,181.5,0,"{'region_coordinator': 'A', 'notes': 'covered schools'}"
Kerala,05/2016,Vandrevala Foundation,1873,369,230.52,8,"{""region_coordinator"": ""C"", ""notes"": ""covered schools""}"
Kerala,06/2016,AASRA,839,352,20.62,15,"{'region_coordinator': 'C', 'notes': 'covered schools'}"
kerala,2016-07,Vandrevala Foundation,635,459,91.25,15,"{'region_coordinator': 'C', 'notes': None}"
kerala,2016-08,Snehi,105,105,284.52,29,"{""region_coordinator"": ""B"", ""notes"": null}"
KERALA,09/2016,Samaritans,586,407,188.65,40,"{""region_coordinator"": ""B"", ""notes"": null}"
kerala,10/2016,Snehi,1843,263,173.96,14,"{""region_coordinator"": ""D"", ""notes"": ""camp in rural area""}"
kerala,11/2016,Samaritans,625,434,48.35,39,"{""region_coordinator"": ""D"", ""notes"": ""covered schools""}"
Kerala,2016-12,Vandrevala Foundation,1837k,1291,74.14,49,"{""region_coordinator"": ""A"", ""notes"": null}"
Kerala,01/2017,Vandrevala Foundation,767,708,21.78,41,"{""region_coordinator"": ""B"", ""notes"": ""camp in rural area""}"
Kerala,2017-02,Vandrevala Foundation,988,606,135.27,35,"{'region_coordinator': 'C', 'notes': None}"
KERALA,03/2017,Snehi,606,212,55.17,23,"{""region_coordinator"": ""C"", ""notes"": ""camp in rural area""}"
Kerala,04/2017,AASRA,1056,416,154.71,5,"{""region_coordinator"": ""D"", ""notes"": null}"
kerala,05/2017,Vandrevala Foundation,187,187,63.4,29,"{""region_coordinator"": ""A"", ""notes"": """"}"
Kerala,06/2017,Vandrevala Foundation,1199,200,86.94,24,"{""region_coordinator"": ""B"", ""notes"": null}"
KERALA,2017-07,Snehi,1737,831,59.36,31,"{""region_coordinator"": ""C"", ""notes"": null}"
Kerala,08/2017,AASRA,1873,1200,147.12,31,"{""region_coordinator"": ""C"", ""notes"": ""covered schools""}"
Kerala,09/2017,Snehi,333,29,161.98,29,"{'region_coordinator': 'C', 'notes': None}"
Kerala,10/2017,iCALL,588,210,240.56,46,"{""region_coordinator"": ""C"", ""notes"": null}"
KERALA,11/2017,icall,1061,518,211.59,22,"{'region_coordinator': 'C', 'notes': ''}"
kerala,12/2017,Snehi,745,521,31.97,47,"{'region_coordinator': 'B', 'notes': 'covered schools'}"
kerala,01/2018,Snehi,1590,1260,17.41,1,"{""region_coordinator"": ""A"", ""notes"": """"}"
Kerala,02/2018,AASRA,349,84,37.12,50,"{""region_coordinator"": ""B"", ""notes"": null}"
Kerala,03/2018,iCALL,596,125,226.56,39,"{'region_coordinator': 'A', 'notes': None}"
kerala,2018-04,Snehi,395,96,144.75,27,"{""region_coordinator"": ""A"", ""notes"": ""covered schools""}"
Kerala,05/2018,Vandrevala Foundation,247,144,65.51,5,"{""region_coordinator"": ""A"", ""notes"": null}"
KERALA,06/2018,iCALL,1825,1825,273.99,28,"{'region_coordinator': 'C', 'notes': 'camp in rural area'}"
KERALA,07/2018,iCALL,438,331,138.54,8,"{""region_coordinator"": ""A"", ""notes"": ""camp in rural area""}"
kerala,2018-08,Snehi,1385,173,53.15,8,"{'region_coordinator': 'A', 'notes': None}"
KERALA,09/2018,Snehi,85,11,174.51,5,"{""region_coordinator"": ""D"", ""notes"": null}"
KERALA,10/2018,AASRA,1887k,1606,77.02,18,"{'region_coordinator': 'D', 'notes': 'camp in rural area'}"
kerala,2018-11,Vandrevala Foundation,122,6,257.89,1,"{'region_coordinator': 'A', 'notes': None}"
Kerala,12/2018,AASRA,254,226,261.17,23,"{""region_coordinator"": ""A"", ""notes"": null}"
KERALA,01/2019,Snehi,904,904,257.51,15,"{'region_coordinator': 'C', 'notes': 'covered schools'}"
Kerala,02/2019,AASRA,1827,1606,60.55,40,"{""region_coordinator"": ""A"", ""notes"": """"}"
