State,Year,Facility_Type,Count,Facility_Details
MAHARASHTRA,2017,Mental Health Clinic,23,"[{""name"": ""Mental Health Clinic_Maharashtra_2017_0"", ""beds"": 93, ""psychiatrists"": 2, ""counselors"": 11}, {""name"": ""Mental Health Clinic_Maharashtra_2017_1"", ""beds"": 93, ""psychiatrists"": 3, ""counselors"": 12}]"
Maharashtra,2017,Rehab Center,35,
Maharashtra,2017,NGO Center,23,
Maharashtra,2017,Teletherapy Service,20,
Maharashtra,2018,Hospital,8,"[{""name"": ""Hospital_Maharashtra_2018_0"", ""beds"": 81, ""psychiatrists"": 10, ""counselors"": 12}, {""name"": ""Hospital_Maharashtra_2018_1"", ""beds"": 44, ""psychiatrists"": 3, ""counselors"": 3}, {""name"": ""Hospital_Maharashtra_2018_2"", ""beds"": 149, ""psychiatrists"": 3, ""counselors"": 18}]"
Maharashtra,2018,Mental Health Clinic,21,
Maharashtra,2018,Rehab Center,19,
MAHARASHTRA,2018,NGO Center,25,"[{""name"": ""NGO Center_Maharashtra_2018_0"", ""beds"": 105, ""psychiatrists"": 4, ""counselors"": 0}]"
Maharashtra,2018,Teletherapy Service,32,"[{'name': 'Teletherapy Service_Maharashtra_2018_0', 'beds': 104, 'psychiatrists': 5, 'counselors': 10}]"
Maharashtra,2019,Hospital,15,"[{""name"": ""Hospital_Maharashtra_2019_0"", ""beds"": 132, ""psychiatrists"": 8, ""counselors"": 4}, {""name"": ""Hospital_Maharashtra_2019_1"", ""beds"": 122, ""psychiatrists"": 1, ""counselors"": 16}]"
maharashtra,2019,Mental Health Clinic,31,"[{'name': 'Mental Health Clinic_Maharashtra_2019_0', 'beds': 37, 'psychiatrists': 7, 'counselors': 4}, {'name': 'Mental Health Clinic_Maharashtra_2019_1', 'beds': 154, 'psychiatrists': 7, 'counselors': 9}, {'name': 'Mental Health Clinic_Maharashtra_2019_2', 'beds': 167, 'psychiatrists': 4, 'counselors': 1}, {'name': 'Mental Health Clinic_Maharashtra_2019_3', 'beds': 19, 'psychiatrists': 2, 'counselors': 2}, {'name': 'Mental Health Clinic_Maharashtra_2019_4', 'beds': 111, 'psychiatrists': 1, 'counselors': 0}]"
MAHARASHTRA,2019,Rehab Center,34,"[{'name': 'Rehab Center_Maharashtra_2019_0', 'beds': 174, 'psychiatrists': 8, 'counselors': 16}, {'name': 'Rehab Center_Maharashtra_2019_1', 'beds': 186, 'psychiatrists': 4, 'counselors': 0}, {'name': 'Rehab Center_Maharashtra_2019_2', 'beds': 190, 'psychiatrists': 6, 'counselors': 18}, {'name': 'Rehab Center_Maharashtra_2019_3', 'beds': 167, 'psychiatrists': 4, 'counselors': 4}]"
maharashtra,2019,NGO Center,16,
Maharashtra,2019,Teletherapy Service,38,
Maharashtra,2020,Hospital,47,"[{""name"": ""Hospital_Maharashtra_2020_0"", ""beds"": 17, ""psychiatrists"": 0, ""counselors"": 12}, {""name"": ""Hospital_Maharashtra_2020_1"", ""beds"": 166, ""psychiatrists"": 5, ""counselors"": 0}, {""name"": ""Hospital_Maharashtra_2020_2"", ""beds"": 172, ""psychiatrists"": 8, ""counselors"": 15}]"
Maharashtra,2020,Mental Health Clinic,35,"[{""name"": ""Mental Health Clinic_Maharashtra_2020_0"", ""beds"": 179, ""psychiatrists"": 3, ""counselors"": 18}, {""name"": ""Mental Health Clinic_Maharashtra_2020_1"", ""beds"": 188, ""psychiatrists"": 9, ""counselors"": 6}, {""name"": ""Mental Health Clinic_Maharashtra_2020_2"", ""beds"": 75, ""psychiatrists"": 10, ""counselors"": 9}, {""name"": ""Mental Health Clinic_Maharashtra_2020_3"", ""beds"": 176, ""psychiatrists"": 7, ""counselors"": 5}]"
Maharashtra,2020,Rehab Center,9,"[{""name"": ""Rehab Center_Maharashtra_2020_0"", ""beds"": 51, ""psychiatrists"": 5, ""counselors"": 6}]"
MAHARASHTRA,2020,NGO Center,26,
Maharashtra,2020,Teletherapy Service,10,"[{""name"": ""Teletherapy Service_Maharashtra_2020_0"", ""beds"": 83, ""psychiatrists"": 6, ""counselors"": 9}]"
MAHARASHTRA,2021,Hospital,33,"[{""name"": ""Hospital_Maharashtra_2021_0"", ""beds"": 55, ""psychiatrists"": 7, ""counselors"": 2}, {""name"": ""Hospital_Maharashtra_2021_1"", ""beds"": 176, ""psychiatrists"": 6, ""counselors"": 9}]"
maharashtra,2021,Mental Health Clinic,36,"[{'name': 'Mental Health Clinic_Maharashtra_2021_0', 'beds': 199, 'psychiatrists': 5, 'counselors': 3}, {'name': 'Mental Health Clinic_Maharashtra_2021_1', 'beds': 0, 'psychiatrists': 5, 'counselors': 10}]"
MAHARASHTRA,2021,Rehab Center,31,"[{""name"": ""Rehab Center_Maharashtra_2021_0"", ""beds"": 36, ""psychiatrists"": 5, ""counselors"": 3}, {""name"": ""Rehab Center_Maharashtra_2021_1"", ""beds"": 84, ""psychiatrists"": 6, ""counselors"": 11}]"
Maharashtra,2021,NGO Center,9,"[{""name"": ""NGO Center_Maharashtra_2021_0"", ""beds"": 172, ""psychiatrists"": 8, ""counselors"": 3}]"
MAHARASHTRA,2021,Teletherapy Service,31,"[{""name"": ""Teletherapy Service_Maharashtra_2021_0"", ""beds"": 185, ""psychiatrists"": 3, ""counselors"": 6}]"
Maharashtra,2022,Hospital,19,
Maharashtra,2022,Mental Health Clinic,44,
maharashtra,2022,Rehab Center,8,"[{""name"": ""Rehab Center_Maharashtra_2022_0"", ""beds"": 134, ""psychiatrists"": 8, ""counselors"": 18}, {""name"": ""Rehab Center_Maharashtra_2022_1"", ""beds"": 124, ""psychiatrists"": 7, ""counselors"": 15}, {""name"": ""Rehab Center_Maharashtra_2022_2"", ""beds"": 154, ""psychiatrists"": 7, ""counselors"": 20}, {""name"": ""Rehab Center_Maharashtra_2022_3"", ""beds"": 103, ""psychiatrists"": 7, ""counselors"": 11}, {""name"": ""Rehab Center_Maharashtra_2022_4"", ""beds"": 197, ""psychiatrists"": 0, ""counselors"": 10}]"
MAHARASHTRA,2022,NGO Center,44,"[{'name': 'NGO Center_Maharashtra_2022_0', 'beds': 163, 'psychiatrists': 9, 'counselors': 11}]"
maharashtra,2022,Teletherapy Service,24,"[{'name': 'Teletherapy Service_Maharashtra_2022_0', 'beds': 181, 'psychiatrists': 5, 'counselors': 6}]"
Tamil-Nadu,2010,Hospital,29,
TAMIL NADU,2010,Mental Health Clinic,12,
tamil nadu,2010,Rehab Center,13,"[{""name"": ""Rehab Center_Tamil Nadu_2010_0"", ""beds"": 114, ""psychiatrists"": 9, ""counselors"": 0}, {""name"": ""Rehab Center_Tamil Nadu_2010_1"", ""beds"": 136, ""psychiatrists"": 2, ""counselors"": 3}, {""name"": ""Rehab Center_Tamil Nadu_2010_2"", ""beds"": 18, ""psychiatrists"": 2, ""counselors"": 14}]"
Tamig Nadu,2010,NGO Center,7,"[{""name"": ""NGO Center_Tamil Nadu_2010_0"", ""beds"": 97, ""psychiatrists"": 2, ""counselors"": 14}, {""name"": ""NGO Center_Tamil Nadu_2010_1"", ""beds"": 104, ""psychiatrists"": 0, ""counselors"": 5}]"
Tamil Nadu,2010,Teletherapy Service,1,"[{""name"": ""Teletherapy Service_Tamil Nadu_2010_0"", ""beds"": 188, ""psychiatrists"": 6, ""counselors"": 7}, {""name"": ""Teletherapy Service_Tamil Nadu_2010_1"", ""beds"": 130, ""psychiatrists"": 1, ""counselors"": 15}, {""name"": ""Teletherapy Service_Tamil Nadu_2010_2"", ""beds"": 116, ""psychiatrists"": 8, ""counselors"": 2}]"
TamilNadu,2011,Hospital,16,"[{""name"": ""Hospital_Tamil Nadu_2011_0"", ""beds"": 194, ""psychiatrists"": 1, ""counselors"": 16}, {""name"": ""Hospital_Tamil Nadu_2011_1"", ""beds"": 163, ""psychiatrists"": 9, ""counselors"": 2}]"
TAMIL NADU,2011,Mental Health Clinic,24,"[{""name"": ""Mental Health Clinic_Tamil Nadu_2011_0"", ""beds"": 22, ""psychiatrists"": 3, ""counselors"": 4}, {""name"": ""Mental Health Clinic_Tamil Nadu_2011_1"", ""beds"": 179, ""psychiatrists"": 5, ""counselors"": 12}, {""name"": ""Mental Health Clinic_Tamil Nadu_2011_2"", ""beds"": 42, ""psychiatrists"": 9, ""counselors"": 4}]"
TamilNadu,2011,Rehab Center,15,"[{""name"": ""Rehab Center_Tamil Nadu_2011_0"", ""beds"": 124, ""psychiatrists"": 1, ""counselors"": 20}, {""name"": ""Rehab Center_Tamil Nadu_2011_1"", ""beds"": 10, ""psychiatrists"": 6, ""counselors"": 0}, {""name"": ""Rehab Center_Tamil Nadu_2011_2"", ""beds"": 56, ""psychiatrists"": 9, ""counselors"": 20}, {""name"": ""Rehab Center_Tamil Nadu_2011_3"", ""beds"": 176, ""psychiatrists"": 4, ""counselors"": 19}, {""name"": ""Rehab Center_Tamil Nadu_2011_4"", ""beds"": 41, ""psychiatrists"": 5, ""counselors"": 17}]"
TamilNadu,2011,NGO Center,7,"[{""name"": ""NGO Center_Tamil Nadu_2011_0"", ""beds"": 7, ""psychiatrists"": 7, ""counselors"": 7}, {""name"": ""NGO Center_Tamil Nadu_2011_1"", ""beds"": 34, ""psychiatrists"": 0, ""counselors"": 19}, {""name"": ""NGO Center_Tamil Nadu_2011_2"", ""beds"": 154, ""psychiatrists"": 8, ""counselors"": 0}, {""name"": ""NGO Center_Tamil Nadu_2011_3"", ""beds"": 165, ""psychiatrists"": 10, ""counselors"": 14}]"
Tamil-Nadu,2011,Teletherapy Service,34,"[{""name"": ""Teletherapy Service_Tamil Nadu_2011_0"", ""beds"": 78, ""psychiatrists"": 10, ""counselors"": 13}, {""name"": ""Teletherapy Service_Tamil Nadu_2011_1"", ""beds"": 108, ""psychiatrists"": 0, ""counselors"": 13}, {""name"": ""Teletherapy Service_Tamil Nadu_2011_2"", ""beds"": 22, ""psychiatrists"": 2, ""counselors"": 8}, {""name"": ""Teletherapy Service_Tamil Nadu_2011_3"", ""beds"": 180, ""psychiatrists"": 0, ""counselors"": 10}, {""name"": ""Teletherapy Service_Tamil Nadu_2011_4"", ""beds"": 103, ""psychiatrists"": 8, ""counselors"": 14}]"
Tamil-Nadu,2012,Hospital,19,"[{""name"": ""Hospital_Tamil Nadu_2012_0"", ""beds"": 52, ""psychiatrists"": 10, ""counselors"": 0}]"
Tamil-Nadu,2012,Mental Health Clinic,14,"[{""name"": ""Mental Health Clinic_Tamil Nadu_2012_0"", ""beds"": 145, ""psychiatrists"": 6, ""counselors"": 0}, {""name"": ""Mental Health Clinic_Tamil Nadu_2012_1"", ""beds"": 175, ""psychiatrists"": 9, ""counselors"": 15}, {""name"": ""Mental Health Clinic_Tamil Nadu_2012_2"", ""beds"": 147, ""psychiatrists"": 5, ""counselors"": 4}, {""name"": ""Mental Health Clinic_Tamil Nadu_2012_3"", ""beds"": 199, ""psychiatrists"": 10, ""counselors"": 11}, {""name"": ""Mental Health Clinic_Tamil Nadu_2012_4"", ""beds"": 91, ""psychiatrists"": 2, ""counselors"": 2}]"
TamilNadu,2012,Rehab Center,32,
Tamil-Nadu,2012,NGO Center,16,
Tamil-Nadu,2012,Teletherapy Service,9,"[{""name"": ""Teletherapy Service_Tamil Nadu_2012_0"", ""beds"": 13, ""psychiatrists"": 5, ""counselors"": 6}, {""name"": ""Teletherapy Service_Tamil Nadu_2012_1"", ""beds"": 174, ""psychiatrists"": 2, ""counselors"": 9}, {""name"": ""Teletherapy Service_Tamil Nadu_2012_2"", ""beds"": 49, ""psychiatrists"": 8, ""counselors"": 1}, {""name"": ""Teletherapy Service_Tamil Nadu_2012_3"", ""beds"": 13, ""psychiatrists"": 4, ""counselors"": 12}]"
TAMIL NADU,2013,Hospital,6,"[{""name"": ""Hospital_Tamil Nadu_2013_0"", ""beds"": 100, ""psychiatrists"": 8, ""counselors"": 13}, {""name"": ""Hospital_Tamil Nadu_2013_1"", ""beds"": 28, ""psychiatrists"": 7, ""counselors"": 13}, {""name"": ""Hospital_Tamil Nadu_2013_2"", ""beds"": 181, ""psychiatrists"": 7, ""counselors"": 1}, {""name"": ""Hospital_Tamil Nadu_2013_3"", ""beds"": 71, ""psychiatrists"": 3, ""counselors"": 19}]"
TamilNadu,2013,Mental Health Clinic,8,"[{""name"": ""Mental Health Clinic_Tamil Nadu_2013_0"", ""beds"": 178, ""psychiatrists"": 6, ""counselors"": 15}, {""name"": ""Mental Health Clinic_Tamil Nadu_2013_1"", ""beds"": 103, ""psychiatrists"": 5, ""counselors"": 16}]"
Tamil-Nadu,2013,Rehab Center,36,"[{""name"": ""Rehab Center_Tamil Nadu_2013_0"", ""beds"": 128, ""psychiatrists"": 9, ""counselors"": 19}, {""name"": ""Rehab Center_Tamil Nadu_2013_1"", ""beds"": 81, ""psychiatrists"": 4, ""counselors"": 11}]"
tamil nadu,2013,NGO Center,45,"[{""name"": ""NGO Center_Tamil Nadu_2013_0"", ""beds"": 196, ""psychiatrists"": 2, ""counselors"": 10}, {""name"": ""NGO Center_Tamil Nadu_2013_1"", ""beds"": 57, ""psychiatrists"": 1, ""counselors"": 9}, {""name"": ""NGO Center_Tamil Nadu_2013_2"", ""beds"": 19, ""psychiatrists"": 10, ""counselors"": 2}, {""name"": ""NGO Center_Tamil Nadu_2013_3"", ""beds"": 35, ""psychiatrists"": 4, ""counselors"": 14}]"
tamil nadu,2013,Teletherapy Service,36,"[{""name"": ""Teletherapy Service_Tamil Nadu_2013_0"", ""beds"": 134, ""psychiatrists"": 6, ""counselors"": 14}, {""name"": ""Teletherapy Service_Tamil Nadu_2013_1"", ""beds"": 35, ""psychiatrists"": 10, ""counselors"": 6}]"
TamilNadu,2014,Hospital,4,"[{""name"": ""Hospital_Tamil Nadu_2014_0"", ""beds"": 193, ""psychiatrists"": 1, ""counselors"": 2}, {""name"": ""Hospital_Tamil Nadu_2014_1"", ""beds"": 88, ""psychiatrists"": 1, ""counselors"": 16}, {""name"": ""Hospital_Tamil Nadu_2014_2"", ""beds"": 70, ""psychiatrists"": 0, ""counselors"": 12}, {""name"": ""Hospital_Tamil Nadu_2014_3"", ""beds"": 53, ""psychiatrists"": 5, ""counselors"": 1}, {""name"": ""Hospital_Tamil Nadu_2014_4"", ""beds"": 161, ""psychiatrists"": 8, ""counselors"": 15}]"
TAMIL NADU,2014,Mental Health Clinic,28,"[{'name': 'Mental Health Clinic_Tamil Nadu_2014_0', 'beds': 184, 'psychiatrists': 6, 'counselors': 16}, {'name': 'Mental Health Clinic_Tamil Nadu_2014_1', 'beds': 158, 'psychiatrists': 5, 'counselors': 7}, {'name': 'Mental Health Clinic_Tamil Nadu_2014_2', 'beds': 160, 'psychiatrists': 5, 'counselors': 10}, {'name': 'Mental Health Clinic_Tamil Nadu_2014_3', 'beds': 86, 'psychiatrists': 7, 'counselors': 0}]"
tamil nadu,2014,Rehab Center,12,
TAMIL NADU,2014,NGO Center,1,"[{""name"": ""NGO Center_Tamil Nadu_2014_0"", ""beds"": 103, ""psychiatrists"": 10, ""counselors"": 17}]"
TAMIL NADU,2014,Teletherapy Service,19,"[{""name"": ""Teletherapy Service_Tamil Nadu_2014_0"", ""beds"": 170, ""psychiatrists"": 9, ""counselors"": 3}, {""name"": ""Teletherapy Service_Tamil Nadu_2014_1"", ""beds"": 104, ""psychiatrists"": 2, ""counselors"": 14}, {""name"": ""Teletherapy Service_Tamil Nadu_2014_2"", ""beds"": 57, ""psychiatrists"": 10, ""counselors"": 1}]"
TamilNadu,2015,Hospital,41,
Tamil Nadu,2015,Mental Health Clinic,25,"[{'name': 'Mental Health Clinic_Tamil Nadu_2015_0', 'beds': 16, 'psychiatrists': 4, 'counselors': 11}, {'name': 'Mental Health Clinic_Tamil Nadu_2015_1', 'beds': 33, 'psychiatrists': 7, 'counselors': 7}, {'name': 'Mental Health Clinic_Tamil Nadu_2015_2', 'beds': 33, 'psychiatrists': 10, 'counselors': 13}]"
TAMIL NADU,2015,Rehab Center,5,
