State,Year,Cause,Number_of_Cases,Cause_Details
Maharashtra,2009,Exam Stress,31,"{'<18': 4, '18-25': 5, '26-35': 7, '36-45': 6, '46-60': 2, '60+': 2}"
Maharashtra,2009,Addiction,34,"{""<18"": 5, ""18-25"": 4, ""26-35"": 8, ""36-45"": 3, ""46-60"": 5, ""60+"": 4}"
Maharashtra,2009,Chronic Illness,31,"{""<18"": 3, ""18-25"": 9, ""26-35"": 6, ""36-45"": 13, ""46-60"": 3, ""60+"": 7}"
Maharashtra,2009,Unemployment,44,"{""<18"": 4, ""18-25"": 5, ""26-35"": 11, ""36-45"": 7, ""46-60"": 4, ""60+"": 8}"
Maharashtra,2009,Work Pressure,40,"{""<18"": 7, ""18-25"": 3, ""26-35"": 6, ""36-45"": 6, ""46-60"": 6, ""60+"": 2}"
Maharashtra,2009,Unknown,48,"{""<18"": 7, ""18-25"": 6, ""26-35"": 8, ""36-45"": 2, ""46-60"": 3, ""60+"": 7}"
Maharashtra,2009,Natural Causes,46,"{""<18"": 4, ""18-25"": 5, ""26-35"": 4, ""36-45"": 5, ""46-60"": 10, ""60+"": 7}"
Maharashtra,2010,Family Issues,40,"{""<18"": 4, ""18-25"": 4, ""26-35"": 5, ""36-45"": 7, ""46-60"": 5, ""60+"": 4}"
Maharashtra,2010,Financial Crisis,36,"{""<18"": 3, ""18-25"": 3, ""26-35"": 6, ""36-45"": 5, ""46-60"": 5, ""60+"": 4}"
Maharashtra,2010,Mental Illness,49,"{""<18"": 10, ""18-25"": 5, ""26-35"": 3, ""36-45"": 6, ""46-60"": 2, ""60+"": 9}"
Maharashtra,2010,Relationship Issues,43,"{""<18"": 10, ""18-25"": 3, ""26-35"": 5, ""36-45"": 6, ""46-60"": 7, ""60+"": 6}"
Maharashtra,2010,Exam Stress,43,"{""<18"": 3, ""18-25"": 8, ""26-35"": 7, ""36-45"": 4, ""46-60"": 6, ""60+"": 9}"
Maharashtra,2010,Addiction,49,"{""<18"": 6, ""18-25"": 6, ""26-35"": 3, ""36-45"": 2, ""46-60"": 6, ""60+"": 3}"
Maharashtra,2010,Chronic Illness,41,"{""<18"": 4, ""18-25"": 6, ""26-35"": 4, ""36-45"": 3, ""46-60"": 4, ""60+"": 2}"
Maharashtra,2010,Unemployment,36,"{""<18"": 10, ""18-25"": 6, ""26-35"": 12, ""36-45"": 10, ""46-60"": 6, ""60+"": 14}"
Maharashtra,2010,Work Pressure,37,"{""<18"": 4, ""18-25"": 5, ""26-35"": 9, ""36-45"": 3, ""46-60"": 9, ""60+"": 3}"
Maharashtra,2010,Unknown,48,"{""<18"": 9, ""18-25"": 4, ""26-35"": 9, ""36-45"": 1, ""46-60"": 6, ""60+"": 6}"
Maharashtra,2010,Natural Causes,46,"{""<18"": 7, ""18-25"": 2, ""26-35"": 13, ""36-45"": 3, ""46-60"": 5, ""60+"": 4}"
Maharashtra,2011,Family Issues,40,"{'<18': 7, '18-25': 4, '26-35': 3, '36-45': 3, '46-60': 4, '60+': 4}"
Maharashtra,2011,Financial Crisis,31,"{""<18"": 8, ""18-25"": 7, ""26-35"": 6, ""36-45"": 4, ""46-60"": 9, ""60+"": 7}"
Maharashtra,2011,Mental Illness,37,"{""<18"": 5, ""18-25"": 2, ""26-35"": 5, ""36-45"": 4, ""46-60"": 3, ""60+"": 2}"
Maharashtra,2011,Relationship Issues,41,"{""<18"": 0, ""18-25"": 6, ""26-35"": 12, ""36-45"": 7, ""46-60"": 1, ""60+"": 8}"
Maharashtra,2011,Exam Stress,45,"{""<18"": 3, ""18-25"": 9, ""26-35"": 3, ""36-45"": 2, ""46-60"": 7, ""60+"": 3}"
Maharashtra,2011,Addiction,39,"{'<18': 5, '18-25': 7, '26-35': 5, '36-45': 2, '46-60': 7, '60+': 5}"
Maharashtra,2011,Chronic Illness,36,"{""<18"": 4, ""18-25"": 4, ""26-35"": 5, ""36-45"": 6, ""46-60"": 10, ""60+"": 7}"
Maharashtra,2011,Unemployment,43,"{'<18': 1, '18-25': 6, '26-35': 5, '36-45': 9, '46-60': 4, '60+': 7}"
Maharashtra,2011,Work Pressure,32,"{""<18"": 4, ""18-25"": 7, ""26-35"": 5, ""36-45"": 2, ""46-60"": 4, ""60+"": 4}"
Maharashtra,2011,Unknown,41,"{""<18"": 5, ""18-25"": 6, ""26-35"": 3, ""36-45"": 3, ""46-60"": 2, ""60+"": 6}"
Maharashtra,2011,Natural Causes,40,"{""<18"": 6, ""18-25"": 5, ""26-35"": 4, ""36-45"": 5, ""46-60"": 3, ""60+"": 5}"
Maharashtra,2012,Family Issues,34,"{""<18"": 8, ""18-25"": 6, ""26-35"": 5, ""36-45"": 2, ""46-60"": 6, ""60+"": 10}"
Maharashtra,2012,Financial Crisis,37,"{'<18': 3, '18-25': 3, '26-35': 7, '36-45': 6, '46-60': 5, '60+': 6}"
Maharashtra,2012,Mental Illness,30,"{""<18"": 5, ""18-25"": 7, ""26-35"": 9, ""36-45"": 7, ""46-60"": 10, ""60+"": 7}"
Maharashtra,2012,Relationship Issues,39,"{'<18': 3, '18-25': 3, '26-35': 4, '36-45': 5, '46-60': 8, '60+': 4}"
Maharashtra,2012,Exam Stress,40,"{""<18"": 2, ""18-25"": 4, ""26-35"": 3, ""36-45"": 2, ""46-60"": 5, ""60+"": 9}"
Maharashtra,2012,Addiction,40,"{""<18"": 5, ""18-25"": 2, ""26-35"": 4, ""36-45"": 3, ""46-60"": 4, ""60+"": 3}"
Maharashtra,2012,Chronic Illness,33,"{""<18"": 5, ""18-25"": 7, ""26-35"": 5, ""36-45"": 2, ""46-60"": 6, ""60+"": 4}"
Maharashtra,2012,Unemployment,32,"{""<18"": 7, ""18-25"": 5, ""26-35"": 10, ""36-45"": 5, ""46-60"": 4, ""60+"": 3}"
Maharashtra,2012,Work Pressure,49,"{'<18': 0, '18-25': 4, '26-35': 4, '36-45': 2, '46-60': 5, '60+': 8}"
Maharashtra,2012,Unknown,40,"{""<18"": 7, ""18-25"": 6, ""26-35"": 5, ""36-45"": 10, ""46-60"": 5, ""60+"": 5}"
Maharashtra,2012,Natural Causes,38,"{'<18': 2, '18-25': 10, '26-35': 2, '36-45': 8, '46-60': 2, '60+': 4}"
Maharashtra,2013,Family Issues,39,"{""<18"": 5, ""18-25"": 3, ""26-35"": 6, ""36-45"": 10, ""46-60"": 5, ""60+"": 4}"
Maharashtra,2013,Financial Crisis,37,"{'<18': 4, '18-25': 6, '26-35': 5, '36-45': 4, '46-60': 2, '60+': 12}"
Maharashtra,2013,Mental Illness,38,"{""<18"": 4, ""18-25"": 9, ""26-35"": 7, ""36-45"": 6, ""46-60"": 6, ""60+"": 4}"
Maharashtra,2013,Relationship Issues,34,"{""<18"": 4, ""18-25"": 5, ""26-35"": 5, ""36-45"": 6, ""46-60"": 7, ""60+"": 7}"
Maharashtra,2013,Exam Stress,32,"{""<18"": 3, ""18-25"": 5, ""26-35"": 7, ""36-45"": 4, ""46-60"": 3, ""60+"": 8}"
Maharashtra,2013,Addiction,48,"{'<18': 6, '18-25': 4, '26-35': 9, '36-45': 6, '46-60': 8, '60+': 3}"
Maharashtra,2013,Chronic Illness,35,"{'<18': 3, '18-25': 9, '26-35': 5, '36-45': 2, '46-60': 7, '60+': 2}"
Maharashtra,2013,Unemployment,36,"{""<18"": 4, ""18-25"": 6, ""26-35"": 6, ""36-45"": 8, ""46-60"": 3, ""60+"": 5}"
Maharashtra,2013,Work Pressure,45,"{'<18': 5, '18-25': 3, '26-35': 6, '36-45': 7, '46-60': 7, '60+': 3}"
Maharashtra,2013,Unknown,43,"{'<18': 6, '18-25': 5, '26-35': 7, '36-45': 3, '46-60': 4, '60+': 7}"
Maharashtra,2013,Natural Causes,44,"{""<18"": 7, ""18-25"": 5, ""26-35"": 5, ""36-45"": 4, ""46-60"": 4, ""60+"": 5}"
Maharashtra,2014,Family Issues,33,"{'<18': 4, '18-25': 5, '26-35': 3, '36-45': 2, '46-60': 4, '60+': 4}"
Maharashtra,2014,Financial Crisis,45,"{""<18"": 10, ""18-25"": 5, ""26-35"": 3, ""36-45"": 6, ""46-60"": 6, ""60+"": 5}"
Maharashtra,2014,Mental Illness,37,"{""<18"": 4, ""18-25"": 7, ""26-35"": 6, ""36-45"": 2, ""46-60"": 5, ""60+"": 5}"
Maharashtra,2014,Relationship Issues,31,"{""<18"": 5, ""18-25"": 2, ""26-35"": 7, ""36-45"": 4, ""46-60"": 3, ""60+"": 4}"
Maharashtra,2014,Exam Stresx,45,"{""<18"": 4, ""18-25"": 5, ""26-35"": 2, ""36-45"": 3, ""46-60"": 2, ""60+"": 3}"
Maharashtra,2014,Addiction,45,"{""<18"": 5, ""18-25"": 7, ""26-35"": 5, ""36-45"": 6, ""46-60"": 7, ""60+"": 3}"
Maharashtra,2014,Chronic Illness,30,"{""<18"": 5, ""18-25"": 5, ""26-35"": 2, ""36-45"": 3, ""46-60"": 6, ""60+"": 5}"
Maharashtra,2014,Unemployment,49,"{'<18': 11, '18-25': 4, '26-35': 7, '36-45': 5, '46-60': 7, '60+': 6}"
Maharashtra,2014,Work Pressure,49,"{""<18"": 9, ""18-25"": 3, ""26-35"": 3, ""36-45"": 8, ""46-60"": 6, ""60+"": 7}"
Maharashtra,2014,Unknown,54,"{""<18"": 8, ""18-25"": 3, ""26-35"": 4, ""36-45"": 2, ""46-60"": 4, ""60+"": 5}"
Maharashtra,2014,Natural Causes,42,"{'<18': 9, '18-25': 3, '26-35': 6, '36-45': 3, '46-60': 7, '60+': 3}"
Maharashtra,2015,Family Issues,34,"{""<18"": 8, ""18-25"": 8, ""26-35"": 3, ""36-45"": 8, ""46-60"": 2, ""60+"": 4}"
Maharashtra,2015,Financial Crisis,52,"{""<18"": 2, ""18-25"": 12, ""26-35"": 3, ""36-45"": 4, ""46-60"": 7, ""60+"": 6}"
Maharashtra,2015,Mental Illness,40,"{""<18"": 8, ""18-25"": 5, ""26-35"": 3, ""36-45"": 3, ""46-60"": 1, ""60+"": 4}"
Maharashtra,2015,Relationship Issues,30,"{""<18"": 5, ""18-25"": 2, ""26-35"": 8, ""36-45"": 8, ""46-60"": 6, ""60+"": 7}"
Maharashtra,2015,Exam Stress,22,"{""<18"": 6, ""18-25"": 5, ""26-35"": 7, ""36-45"": 11, ""46-60"": 1, ""60+"": 5}"
Maharashtra,2015,Addiction,35,"{""<18"": 5, ""18-25"": 6, ""26-35"": 2, ""36-45"": 2, ""46-60"": 6, ""60+"": 7}"
Maharashtra,2015,Chronic Illness,35,"{""<18"": 5, ""18-25"": 2, ""26-35"": 5, ""36-45"": 8, ""46-60"": 6, ""60+"": 8}"
Maharashtra,2015,Unemployment,42,"{'<18': 2, '18-25': 4, '26-35': 3, '36-45': 2, '46-60': 4, '60+': 5}"
Maharashtra,2015,Work Pressure,33,"{'<18': 6, '18-25': 3, '26-35': 4, '36-45': 7, '46-60': 3, '60+': 6}"
Maharashtra,2015,Unknown,45,"{'<18': 5, '18-25': 7, '26-35': 5, '36-45': 11, '46-60': 3, '60+': 3}"
Maharashtra,2015,Natural Causes,39,"{""<18"": 4, ""18-25"": 4, ""26-35"": 3, ""36-45"": 6, ""46-60"": 5, ""60+"": 6}"
Maharashtra,2016,Family Issues,34,"{'<18': 3, '18-25': 6, '26-35': 2, '36-45': 2, '46-60': 8, '60+': 5}"
Maharashtra,2016,Financial Crisis,35,"{""<18"": 14, ""18-25"": 3, ""26-35"": 7, ""36-45"": 4, ""46-60"": 3, ""60+"": 3}"
Maharashtra,2016,Mental Illness,48,"{""<18"": 7, ""18-25"": 2, ""26-35"": 3, ""36-45"": 6, ""46-60"": 4, ""60+"": 7}"
Maharashtra,2016,Relationship Issues,47,"{""<18"": 2, ""18-25"": 3, ""26-35"": 3, ""36-45"": 3, ""46-60"": 6, ""60+"": 4}"
Maharashtra,2016,Exam Stress,46,"{""<18"": 5, ""18-25"": 4, ""26-35"": 6, ""36-45"": 4, ""46-60"": 5, ""60+"": 7}"
Maharashtra,2016,Addiction,29,"{""<18"": 5, ""18-25"": 5, ""26-35"": 7, ""36-45"": 6, ""46-60"": 3, ""60+"": 3}"
Maharashtra,2016,Chronic Illnesx,28,"{""<18"": 6, ""18-25"": 8, ""26-35"": 5, ""36-45"": 1, ""46-60"": 4, ""60+"": 2}"
Maharashtra,2016,Unemployment,50,"{""<18"": 2, ""18-25"": 6, ""26-35"": 6, ""36-45"": 7, ""46-60"": 6, ""60+"": 2}"
Maharashtra,2016,Work Pressure,38,"{'<18': 6, '18-25': 4, '26-35': 5, '36-45': 6, '46-60': 11, '60+': 7}"
Maharashtra,2016,Unknowx,39,"{""<18"": 7, ""18-25"": 5, ""26-35"": 4, ""36-45"": 1, ""46-60"": 7, ""60+"": 5}"
Maharashtra,2016,Natural Causes,53,"{""<18"": 3, ""18-25"": 7, ""26-35"": 3, ""36-45"": 5, ""46-60"": 8, ""60+"": 5}"
Maharashtra,2017,Family Issuex,37,"{""<18"": 6, ""18-25"": 9, ""26-35"": 6, ""36-45"": 3, ""46-60"": 5, ""60+"": 5}"
Maharashtra,2017,Financial Crisiz,35,"{""<18"": 2, ""18-25"": 10, ""26-35"": 5, ""36-45"": 7, ""46-60"": 2, ""60+"": 4}"
Maharashtra,2017,Mental Illness,37,"{""<18"": 4, ""18-25"": 6, ""26-35"": 4, ""36-45"": 7, ""46-60"": 5, ""60+"": 5}"
Maharashtra,2017,Relationship Issues,35,"{'<18': 4, '18-25': 7, '26-35': 9, '36-45': 2, '46-60': 3, '60+': 4}"
Maharashtra,2017,Exam Stress,27,"{'<18': 3, '18-25': 10, '26-35': 4, '36-45': 6, '46-60': 5, '60+': 11}"
Maharashtra,2017,Addiction,48,"{""<18"": 1, ""18-25"": 7, ""26-35"": 6, ""36-45"": 6, ""46-60"": 7, ""60+"": 6}"
Maharashtra,2017,Chronic Illness,41,"{""<18"": 3, ""18-25"": 2, ""26-35"": 3, ""36-45"": 2, ""46-60"": 4, ""60+"": 6}"
Maharashtra,2017,Unemployment,47,"{""<18"": 0, ""18-25"": 6, ""26-35"": 6, ""36-45"": 7, ""46-60"": 5, ""60+"": 2}"
Maharashtra,2017,Work Pressure,35,"{""<18"": 4, ""18-25"": 6, ""26-35"": 4, ""36-45"": 7, ""46-60"": 1, ""60+"": 6}"
Maharashtra,2017,Unknown,38,"{""<18"": 5, ""18-25"": 4, ""26-35"": 5, ""36-45"": 7, ""46-60"": 5, ""60+"": 5}"
Maharashtra,2017,Natural Causes,37,"{""<18"": 4, ""18-25"": 5, ""26-35"": 4, ""36-45"": 2, ""46-60"": 4, ""60+"": 5}"
Maharashtra,2018,Family Issues,38,"{""<18"": 7, ""18-25"": 2, ""26-35"": 9, ""36-45"": 2, ""46-60"": 2, ""60+"": 6}"
Maharashtra,2018,Financial Crisis,32,"{""<18"": 6, ""18-25"": 5, ""26-35"": 3, ""36-45"": 8, ""46-60"": 6, ""60+"": 5}"
Maharashtra,2018,Mental Illness,33,"{""<18"": 3, ""18-25"": 5, ""26-35"": 5, ""36-45"": 4, ""46-60"": 6, ""60+"": 5}"
Maharashtra,2018,Relationship Issues,46,"{""<18"": 5, ""18-25"": 2, ""26-35"": 4, ""36-45"": 3, ""46-60"": 4, ""60+"": 4}"
Maharashtra,2018,Exam Stress,37,"{""<18"": 4, ""18-25"": 4, ""26-35"": 5, ""36-45"": 5, ""46-60"": 7, ""60+"": 5}"
Maharashtra,2018,Addiction,34,"{""<18"": 3, ""18-25"": 6, ""26-35"": 3, ""36-45"": 7, ""46-60"": 6, ""60+"": 7}"
Maharashtra,2018,Chronic Illness,37,"{""<18"": 6, ""18-25"": 2, ""26-35"": 5, ""36-45"": 5, ""46-60"": 7, ""60+"": 3}"
Maharashtra,2018,Unemployment,35,"{""<18"": 8, ""18-25"": 0, ""26-35"": 3, ""36-45"": 8, ""46-60"": 7, ""60+"": 3}"
Maharashtra,2018,Work Pressure,36,"{""<18"": 5, ""18-25"": 4, ""26-35"": 3, ""36-45"": 5, ""46-60"": 6, ""60+"": 6}"
Maharashtra,2018,Unknown,42,"{""<18"": 6, ""18-25"": 6, ""26-35"": 8, ""36-45"": 5, ""46-60"": 8, ""60+"": 2}"
Maharashtra,2018,Natural Causes,45,"{""<18"": 9, ""18-25"": 7, ""26-35"": 4, ""36-45"": 6, ""46-60"": 3, ""60+"": 3}"
Maharashtra,2019,Family Issues,43,"{""<18"": 3, ""18-25"": 6, ""26-35"": 3, ""36-45"": 2, ""46-60"": 6, ""60+"": 4}"
Maharashtra,2019,Financial Crisis,38,"{""<18"": 4, ""18-25"": 4, ""26-35"": 4, ""36-45"": 4, ""46-60"": 11, ""60+"": 4}"
Maharashtra,2019,Mental Illness,38,"{'<18': 3, '18-25': 3, '26-35': 9, '36-45': 5, '46-60': 0, '60+': 7}"
Maharashtra,2019,Relationship Issues,27,"{""<18"": 4, ""18-25"": 3, ""26-35"": 3, ""36-45"": 4, ""46-60"": 5, ""60+"": 4}"
Maharashtra,2019,Exam Stress,35,"{""<18"": 5, ""18-25"": 3, ""26-35"": 7, ""36-45"": 4, ""46-60"": 5, ""60+"": 6}"
Maharashtra,2019,Addiction,44,"{""<18"": 8, ""18-25"": 8, ""26-35"": 7, ""36-45"": 1, ""46-60"": 7, ""60+"": 6}"
Maharashtra,2019,Chronic Illness,41,"{""<18"": 5, ""18-25"": 3, ""26-35"": 5, ""36-45"": 5, ""46-60"": 7, ""60+"": 5}"
Maharashtra,2019,Unemployment,46,"{""<18"": 2, ""18-25"": 7, ""26-35"": 6, ""36-45"": 8, ""46-60"": 4, ""60+"": 2}"
Maharashtra,2019,Work Pressure,35,"{""<18"": 7, ""18-25"": 5, ""26-35"": 5, ""36-45"": 3, ""46-60"": 9, ""60+"": 5}"
Maharashtra,2019,Unknown,42,"{""<18"": 4, ""18-25"": 2, ""26-35"": 7, ""36-45"": 3, ""46-60"": 3, ""60+"": 6}"
Maharashtra,2019,Natural Causes,37,"{'<18': 4, '18-25': 7, '26-35': 8, '36-45': 4, '46-60': 3, '60+': 5}"
Maharashtra,2020,Family Issues,35,"{""<18"": 6, ""18-25"": 2, ""26-35"": 8, ""36-45"": 7, ""46-60"": 5, ""60+"": 4}"
Maharashtra,2020,Financial Crisis,35,"{""<18"": 6, ""18-25"": 9, ""26-35"": 6, ""36-45"": 5, ""46-60"": 6, ""60+"": 4}"
Maharashtra,2020,Mental Illness,37,"{""<18"": 2, ""18-25"": 7, ""26-35"": 3, ""36-45"": 5, ""46-60"": 5, ""60+"": 8}"
Maharashtra,2020,Relationship Issues,51,"{""<18"": 4, ""18-25"": 5, ""26-35"": 8, ""36-45"": 5, ""46-60"": 7, ""60+"": 4}"
Maharashtra,2020,Exam Stress,31,"{'<18': 3, '18-25': 6, '26-35': 5, '36-45': 3, '46-60': 5, '60+': 5}"
Maharashtra,2020,Addiction,38,"{""<18"": 3, ""18-25"": 7, ""26-35"": 6, ""36-45"": 7, ""46-60"": 8, ""60+"": 7}"
Maharashtra,2020,Chronic Illness,58,"{""<18"": 4, ""18-25"": 9, ""26-35"": 2, ""36-45"": 2, ""46-60"": 1, ""60+"": 4}"
Maharashtra,2020,Unemployment,36,"{""<18"": 8, ""18-25"": 6, ""26-35"": 10, ""36-45"": 6, ""46-60"": 7, ""60+"": 5}"
Maharashtra,2020,Work Pressure,42,"{'<18': 7, '18-25': 5, '26-35': 7, '36-45': 4, '46-60': 3, '60+': 5}"
Maharashtra,2020,Unknown,35,"{""<18"": 6, ""18-25"": 4, ""26-35"": 4, ""36-45"": 3, ""46-60"": 5, ""60+"": 2}"
Maharashtra,2020,Natural Causes,42,"{'<18': 5, '18-25': 3, '26-35': 4, '36-45': 5, '46-60': 7, '60+': 6}"
Maharashtra,2021,Family Issues,34,"{""<18"": 5, ""18-25"": 4, ""26-35"": 6, ""36-45"": 4, ""46-60"": 3, ""60+"": 4}"
Maharashtra,2021,Financial Crisis,42,"{""<18"": 10, ""18-25"": 6, ""26-35"": 3, ""36-45"": 4, ""46-60"": 6, ""60+"": 3}"
Maharashtra,2021,Mental Illness,32,"{'<18': 1, '18-25': 1, '26-35': 6, '36-45': 5, '46-60': 5, '60+': 9}"
Maharashtra,2021,Relationship Issues,26,"{""<18"": 3, ""18-25"": 6, ""26-35"": 4, ""36-45"": 3, ""46-60"": 6, ""60+"": 7}"
Maharashtra,2021,Exam Stress,48,"{""<18"": 3, ""18-25"": 6, ""26-35"": 4, ""36-45"": 4, ""46-60"": 5, ""60+"": 5}"
Maharashtra,2021,Addiction,45,"{""<18"": 5, ""18-25"": 5, ""26-35"": 7, ""36-45"": 3, ""46-60"": 5, ""60+"": 8}"
Maharashtra,2021,Chronic Illness,40,"{""<18"": 4, ""18-25"": 11, ""26-35"": 8, ""36-45"": 10, ""46-60"": 7, ""60+"": 9}"
Maharashtra,2021,Unemployment,32,"{""<18"": 7, ""18-25"": 7, ""26-35"": 7, ""36-45"": 4, ""46-60"": 5, ""60+"": 6}"
Maharashtra,2021,Work Pressure,45,"{""<18"": 4, ""18-25"": 1, ""26-35"": 5, ""36-45"": 3, ""46-60"": 7, ""60+"": 1}"
Maharashtra,2021,Unknown,29,"{'<18': 3, '18-25': 4, '26-35': 2, '36-45': 4, '46-60': 4, '60+': 3}"
Maharashtra,2021,Natural Causes,50,"{""<18"": 3, ""18-25"": 4, ""26-35"": 3, ""36-45"": 3, ""46-60"": 2, ""60+"": 6}"
Maharashtra,2022,Family Issues,29,"{""<18"": 6, ""18-25"": 5, ""26-35"": 10, ""36-45"": 2, ""46-60"": 6, ""60+"": 6}"
Maharashtra,2022,Financial Crisis,63,"{""<18"": 6, ""18-25"": 8, ""26-35"": 4, ""36-45"": 5, ""46-60"": 3, ""60+"": 3}"
Maharashtra,2022,Mental Illness,40,"{""<18"": 5, ""18-25"": 2, ""26-35"": 8, ""36-45"": 8, ""46-60"": 3, ""60+"": 7}"
Maharashtra,2022,Relationship Issues,35,"{""<18"": 3, ""18-25"": 4, ""26-35"": 5, ""36-45"": 5, ""46-60"": 4, ""60+"": 12}"
Maharashtra,2022,Exam Stress,31,"{""<18"": 6, ""18-25"": 4, ""26-35"": 4, ""36-45"": 5, ""46-60"": 5, ""60+"": 4}"
Maharashtra,2022,Addiction,41,"{""<18"": 6, ""18-25"": 8, ""26-35"": 1, ""36-45"": 5, ""46-60"": 4, ""60+"": 5}"
Maharashtra,2022,Chronic Illness,43,"{""<18"": 7, ""18-25"": 5, ""26-35"": 5, ""36-45"": 6, ""46-60"": 3, ""60+"": 4}"
Maharashtra,2022,Unemployment,34,"{""<18"": 7, ""18-25"": 2, ""26-35"": 5, ""36-45"": 11, ""46-60"": 4, ""60+"": 4}"
Maharashtra,2022,Work Pressure,35,"{""<18"": 5, ""18-25"": 6, ""26-35"": 2, ""36-45"": 4, ""46-60"": 3, ""60+"": 2}"
Maharashtra,2022,Unknown,56,"{""<18"": 3, ""18-25"": 6, ""26-35"": 2, ""36-45"": 4, ""46-60"": 2, ""60+"": 6}"
Maharashtra,2022,Natural Causes,32,"{""<18"": 3, ""18-25"": 6, ""26-35"": 4, ""36-45"": 4, ""46-60"": 6, ""60+"": 5}"
Tamil Nadu,2008,Family Issues,43,"{'<18': 6, '18-25': 4, '26-35': 4, '36-45': 2, '46-60': 4, '60+': 2}"
Tamil Nadu,2008,Financial Crisis,37,"{""<18"": 5, ""18-25"": 7, ""26-35"": 5, ""36-45"": 4, ""46-60"": 3, ""60+"": 6}"
Tamil Nadu,2008,Mental Illness,36,"{""<18"": 5, ""18-25"": 4, ""26-35"": 6, ""36-45"": 6, ""46-60"": 8, ""60+"": 4}"
Tamil Nadu,2008,Relationship Issues,36,"{""<18"": 7, ""18-25"": 9, ""26-35"": 2, ""36-45"": 5, ""46-60"": 6, ""60+"": 2}"
Tamil Nadu,2008,Exam Stress,32,"{""<18"": 10, ""18-25"": 5, ""26-35"": 5, ""36-45"": 7, ""46-60"": 6, ""60+"": 5}"
Tamil Nadu,2008,Addiction,37,"{""<18"": 4, ""18-25"": 5, ""26-35"": 5, ""36-45"": 8, ""46-60"": 8, ""60+"": 7}"
Tamil Nadu,2008,Chronic Illness,45,"{'<18': 4, '18-25': 4, '26-35': 5, '36-45': 5, '46-60': 1, '60+': 7}"
Tamil Nadu,2008,Unemployment,34,"{""<18"": 7, ""18-25"": 6, ""26-35"": 6, ""36-45"": 1, ""46-60"": 6, ""60+"": 8}"
Tamil Nadu,2008,Work Pressure,39,"{'<18': 8, '18-25': 6, '26-35': 6, '36-45': 4, '46-60': 3, '60+': 5}"
Tamil Nadu,2008,Unknown,42,"{""<18"": 3, ""18-25"": 3, ""26-35"": 4, ""36-45"": 6, ""46-60"": 4, ""60+"": 6}"
Tamil Nadu,2008,Natural Causes,28,"{""<18"": 4, ""18-25"": 3, ""26-35"": 5, ""36-45"": 2, ""46-60"": 9, ""60+"": 6}"
Tamil Nadu,2009,Family Issues,46,"{""<18"": 6, ""18-25"": 3, ""26-35"": 2, ""36-45"": 5, ""46-60"": 6, ""60+"": 3}"
Tamil Nadu,2009,Financial Crisis,40,"{'<18': 4, '18-25': 4, '26-35': 6, '36-45': 1, '46-60': 6, '60+': 5}"
Tamil Nadu,2009,Mental Illness,40,"{""<18"": 6, ""18-25"": 4, ""26-35"": 3, ""36-45"": 2, ""46-60"": 4, ""60+"": 3}"
