State,Year,Age_Group,Gender,Suicides,Demographics,Notes
MAHARASHTRA,2008,60+,Male,54,"{'population': 10926872, 'urban_pct': 54.2, 'rural_pct': 82.17, 'median_age': 28.4}",
Maharashtra,2008,60+,Female,40,"{'population': 2692648, 'urban_pct': 26.0, 'rural_pct': 55.98, 'median_age': 24.8}",
MAHARASHTRA,2008,60+,Other,45,"{'population': 5590741, 'urban_pct': 38.55, 'rural_pct': 28.93, 'median_age': 29.1}",
maharashtra,2009/01,<18,Male,46,"{'population': 13437959, 'urban_pct': 89.66, 'rural_pct': 44.51, 'median_age': 29.3}",
maharashtra,2009/01,<18,Female,51,"{'population': 18636522, 'urban_pct': 36.11, 'rural_pct': 74.58, 'median_age': 24.9}",
MAHARASHTRA,2009,<18,Other,64,"{'population': 8036110, 'urban_pct': 39.49, 'rural_pct': 56.02, 'median_age': 30.5}",
Maharashtra,2009/01,18-25,Male,52,"{'population': 13708665, 'urban_pct': 33.33, 'rural_pct': 83.21, 'median_age': 29.2}",
Maharashtra,2009,18-25,Female,38,"{'population': 11435106, 'urban_pct': 76.04, 'rural_pct': 82.35, 'median_age': 26.3}",
Maharashtra,2009,18-25,Other,33,"{""population"": 2579497, ""urban_pct"": 51.02, ""rural_pct"": 29.71, ""median_age"": 30.6}",
Maharashtra,2009,26-35,Male,48,"{'population': 7981579, 'urban_pct': 31.64, 'rural_pct': 56.01, 'median_age': 26.6}",
MAHARASHTRA,2009,26-35,Female,58,"{'population': 15317547, 'urban_pct': 39.97, 'rural_pct': 41.24, 'median_age': 32.8}",
Maharashtra,2009,26-35,Other,45,"{""population"": 2012373, ""urban_pct"": 60.54, ""rural_pct"": 52.05, ""median_age"": 33.0}",
MAHARASHTRA,2009,36-45,Male,41,"{'population': 17871635, 'urban_pct': 31.02, 'rural_pct': 22.75, 'median_age': 25.0}",
maharashtra,2009,36-45,Female,56,"{'population': 19165134, 'urban_pct': 37.24, 'rural_pct': 48.38, 'median_age': 31.4}",
Maharashtra,2009/01,36-45,Other,54,"{'population': 10592261, 'urban_pct': 36.71, 'rural_pct': 62.29, 'median_age': 32.1}",
MAHARASHTRA,2009,46-60,Male,56,"{'population': 18940931, 'urban_pct': 89.73, 'rural_pct': 84.87, 'median_age': 26.6}",
Maharashtra,2009,46-60,Female,47,"{'population': 5343105, 'urban_pct': 50.67, 'rural_pct': 51.97, 'median_age': 27.6}",
maharashtra,2009,46-60,Other,59,"{""population"": 3525786, ""urban_pct"": 85.73, ""rural_pct"": 80.6, ""median_age"": 25.4}",
Maharashtra,2009/01,60+,Male,46,"{'population': 7117558, 'urban_pct': 70.23, 'rural_pct': 75.75, 'median_age': 31.6}",
MAHARASHTRA,2009,60+,Female,46,"{""population"": 14262844, ""urban_pct"": 78.05, ""rural_pct"": 86.91, ""median_age"": 28.0}",
Maharashtra,2009,60+,Other,55,"{'population': 18561323, 'urban_pct': 69.4, 'rural_pct': 50.74, 'median_age': 25.3}",
Maharashtra,2010,<18,Male,60,"{'population': 19595777, 'urban_pct': 58.68, 'rural_pct': 59.91, 'median_age': 24.5}",
MAHARASHTRA,2010,<18,Female,40,"{'population': 7098998, 'urban_pct': 67.74, 'rural_pct': 43.31, 'median_age': 28.2}",
maharashtra,2010,<18,Other,56,"{'population': 7993586, 'urban_pct': 80.52, 'rural_pct': 21.67, 'median_age': 33.7}",
Maharashtra,2010,18-25,Male,56,"{'population': 13864801, 'urban_pct': 76.16, 'rural_pct': 29.52, 'median_age': 33.7}",
MAHARASHTRA,2010,18-25,Female,50,"{'population': 7513637, 'urban_pct': 33.97, 'rural_pct': 25.71, 'median_age': 28.2}",
Maharashtra,2010,18-25,Other,46,"{'population': 9398367, 'urban_pct': 80.5, 'rural_pct': 22.32, 'median_age': 27.3}",
Maharashtra,2010,26-35,Male,61,"{'population': 976120, 'urban_pct': 28.07, 'rural_pct': 22.07, 'median_age': 26.1}",
Maharashtra,2010,26-35,Female,48,"{'population': 10575264, 'urban_pct': 50.55, 'rural_pct': 21.1, 'median_age': 25.4}",
maharashtra,2010,26-35,Other,44,"{'population': 18117450, 'urban_pct': 68.08, 'rural_pct': 24.18, 'median_age': 32.8}",
MAHARASHTRA,2010,36-45,Male,45,"{'population': 4231731, 'urban_pct': 70.38, 'rural_pct': 68.98, 'median_age': 27.7}",
Maharashtra,2010,36-45,Female,63,"{'population': 12772004, 'urban_pct': 67.41, 'rural_pct': 26.8, 'median_age': 31.4}",
MAHARASHTRA,2010,36-45,Other,53,"{'population': 10862889, 'urban_pct': 52.55, 'rural_pct': 59.05, 'median_age': 26.6}",
MAHARASHTRA,2010,46-60,Male,57,"{'population': 9572291, 'urban_pct': 56.08, 'rural_pct': 45.69, 'median_age': 28.0}",
Maharashtra,2010,46-60,Female,60,"{'population': 4994378, 'urban_pct': 21.71, 'rural_pct': 72.86, 'median_age': 29.7}",
Maharashtra,2010,46-60,Other,46,"{""population"": 12934179, ""urban_pct"": 54.61, ""rural_pct"": 72.92, ""median_age"": 31.9}",
Maharashtra,2010,60+,Male,44,"{""population"": 7393090, ""urban_pct"": 32.31, ""rural_pct"": 22.94, ""median_age"": 30.2}",
Maharashtra,2010,60+,Female,48,"{'population': 15640839, 'urban_pct': 66.73, 'rural_pct': 20.85, 'median_age': 31.1}",
maharashtra,2010,60+,Other,40,"{'population': 18433532, 'urban_pct': 51.21, 'rural_pct': 78.86, 'median_age': 34.3}",
Maharashtra,2011/01,<18,Male,65,"{'population': 17541919, 'urban_pct': 53.92, 'rural_pct': 73.25, 'median_age': 29.3}",
Maharashtra,2011,<18,Female,50,"{""population"": 5111037, ""urban_pct"": 36.19, ""rural_pct"": 41.42, ""median_age"": 32.5}",
Maharashtra,2011,<18,Other,69,"{'population': 2139290, 'urban_pct': 34.48, 'rural_pct': 60.59, 'median_age': 34.9}",
Maharashtra,2011,18-25,Male,50,"{'population': 247839, 'urban_pct': 85.99, 'rural_pct': 69.1, 'median_age': 28.7}",
MAHARASHTRA,2011,18-25,Female,45,"{'population': 7450050, 'urban_pct': 54.18, 'rural_pct': 70.89, 'median_age': 29.8}",
Maharashtra,2011,18-25,Other,52,"{'population': 4332478, 'urban_pct': 88.65, 'rural_pct': 52.61, 'median_age': 34.9}",
maharashtra,2011,26-35,Male,34,"{'population': 15542029, 'urban_pct': 32.72, 'rural_pct': 71.79, 'median_age': 27.9}",
Maharashtra,2011,26-35,Female,61,"{'population': 14195368, 'urban_pct': 37.66, 'rural_pct': 84.27, 'median_age': 24.2}",
MAHARASHTRA,2011,26-35,Other,41,"{""population"": 1400838, ""urban_pct"": 72.8, ""rural_pct"": 23.53, ""median_age"": 26.4}",
Maharashtra,2011,36-45,Male,54,"{'population': 3888272, 'urban_pct': 59.48, 'rural_pct': 74.74, 'median_age': 32.4}",
Maharashtra,2011,36-45,Female,44,"{'population': 5545068, 'urban_pct': 87.53, 'rural_pct': 82.43, 'median_age': 24.3}",
Maharashtra,2011,36-45,Other,47,"{""population"": 6704843, ""urban_pct"": 25.32, ""rural_pct"": 41.66, ""median_age"": 31.5}",
Maharashtra,2011,46-60,Male,53,"{'population': 19039545, 'urban_pct': 74.78, 'rural_pct': 65.7, 'median_age': 29.1}",
Maharashtra,2011,46-60,Female,39,"{'population': 3591296, 'urban_pct': 50.35, 'rural_pct': 64.65, 'median_age': 34.7}",
maharashtra,2011,46-60,Other,46,"{'population': 9112461, 'urban_pct': 63.11, 'rural_pct': 25.63, 'median_age': 33.3}",
Maharashtra,2011,60+,Male,54,"{'population': 2957924, 'urban_pct': 39.52, 'rural_pct': 58.44, 'median_age': 33.0}",
Maharashtra,2011/01,60+,Female,50,"{'population': 6151533, 'urban_pct': 54.13, 'rural_pct': 65.16, 'median_age': 27.1}",
Maharashtra,2011,60+,Other,53,"{'population': 6460789, 'urban_pct': 25.99, 'rural_pct': 39.59, 'median_age': 29.9}",
Maharashtra,2012,<18,Male,54,"{'population': 628587, 'urban_pct': 26.51, 'rural_pct': 74.49, 'median_age': 32.3}",
Maharashtra,2012,<18,Female,64,"{'population': 18517972, 'urban_pct': 43.16, 'rural_pct': 40.8, 'median_age': 27.3}",
Maharashtra,2012,<18,Other,47,"{'population': 6262597, 'urban_pct': 33.41, 'rural_pct': 38.3, 'median_age': 27.3}",
Maharashtra,2012,18-25,Male,45,"{'population': 9990381, 'urban_pct': 35.92, 'rural_pct': 77.44, 'median_age': 24.2}",
Maharashtra,2012,18-25,Female,57,"{""population"": 4287236, ""urban_pct"": 64.65, ""rural_pct"": 37.3, ""median_age"": 25.2}",
Maharashtra,2012/01,18-25,Other,51,"{""population"": 6236218, ""urban_pct"": 87.58, ""rural_pct"": 72.33, ""median_age"": 34.3}",
Maharashtra,2012,26-35,Male,39,"{""population"": 1848822, ""urban_pct"": 30.62, ""rural_pct"": 33.22, ""median_age"": 35.4}",
Maharashtra,2012,26-35,Female,61,"{'population': 7622803, 'urban_pct': 74.3, 'rural_pct': 63.37, 'median_age': 34.9}",
Maharashtra,2012,26-35,Other,47,"{'population': 3379726, 'urban_pct': 86.33, 'rural_pct': 75.45, 'median_age': 26.5}",
Maharashtra,2012/01,36-45,Male,60,"{'population': 13757575, 'urban_pct': 51.54, 'rural_pct': 48.43, 'median_age': 27.5}",
Maharashtra,2012,36-45,Female,53,"{'population': 7882403, 'urban_pct': 84.67, 'rural_pct': 34.85, 'median_age': 31.5}",
Maharashtra,2012,36-45,Other,52,"{'population': 5049254, 'urban_pct': 83.59, 'rural_pct': 32.14, 'median_age': 24.9}",
Maharashtra,2012,46-60,Male,39,"{'population': 14785544, 'urban_pct': 28.7, 'rural_pct': 41.79, 'median_age': 32.4}",
Maharashtra,2012,46-60,Female,51,"{'population': 14546476, 'urban_pct': 71.42, 'rural_pct': 47.74, 'median_age': 24.3}",
Maharashtra,2012,46-60,Other,53,"{'population': 9093289, 'urban_pct': 60.34, 'rural_pct': 36.58, 'median_age': 26.1}",
Maharashtra,2012,60+,Male,55,"{'population': 16549579, 'urban_pct': 87.83, 'rural_pct': 57.1, 'median_age': 28.9}",
maharashtra,2012,60+,Female,46,"{""population"": 9720984, ""urban_pct"": 66.38, ""rural_pct"": 61.97, ""median_age"": 33.1}",
Maharashtra,2012,60+,Other,53,"{'population': 13611864, 'urban_pct': 80.54, 'rural_pct': 32.26, 'median_age': 24.0}",
Maharashtra,2013,<18,Male,53,"{'population': 16776652, 'urban_pct': 63.78, 'rural_pct': 36.8, 'median_age': 26.4}",
Maharashtra,2013,<18,Female,39,"{'population': 8079490, 'urban_pct': 69.68, 'rural_pct': 68.25, 'median_age': 24.2}",
Maharashtra,2013,<18,Other,45,"{'population': 3991509, 'urban_pct': 65.34, 'rural_pct': 79.22, 'median_age': 35.2}",
Maharashtra,2013,18-25,Male,60,"{'population': 8228252, 'urban_pct': 51.98, 'rural_pct': 79.88, 'median_age': 26.3}",
Maharashtra,2013,18-25,Female,57,"{""population"": 13973157, ""urban_pct"": 43.79, ""rural_pct"": 34.86, ""median_age"": 27.2}",
maharashtra,2013,18-25,Other,52,"{'population': 16479603, 'urban_pct': 80.57, 'rural_pct': 58.74, 'median_age': 29.8}",
Maharashtra,2013,26-35,Male,43,"{""population"": 8062984, ""urban_pct"": 60.03, ""rural_pct"": 73.65, ""median_age"": 33.3}",
Maharashtra,2013/01,26-35,Female,45,"{'population': 5153807, 'urban_pct': 54.67, 'rural_pct': 87.41, 'median_age': 30.0}",
maharashtra,2013,26-35,Other,53,"{'population': 15381962, 'urban_pct': 21.07, 'rural_pct': 79.91, 'median_age': 34.5}",
Maharashtra,2013,36-45,Male,62,"{'population': 13387327, 'urban_pct': 65.49, 'rural_pct': 30.38, 'median_age': 34.2}",
Maharashtra,2013,36-45,Female,48,"{'population': 1254573, 'urban_pct': 63.22, 'rural_pct': 73.57, 'median_age': 32.2}",
maharashtra,2013,36-45,Other,45,"{""population"": 3422463, ""urban_pct"": 51.06, ""rural_pct"": 41.42, ""median_age"": 34.8}",
Maharashtra,2013,46-60,Male,58,"{'population': 14501450, 'urban_pct': 30.19, 'rural_pct': 52.82, 'median_age': 30.8}",
Maharashtra,2013,46-60,Female,42,"{'population': 8130906, 'urban_pct': 54.84, 'rural_pct': 49.18, 'median_age': 26.8}",
maharashtra,2013,46-60,Other,64,"{'population': 18390790, 'urban_pct': 31.06, 'rural_pct': 59.08, 'median_age': 28.1}",
maharashtra,2013/01,60+,Male,51,"{'population': 10187521, 'urban_pct': 33.95, 'rural_pct': 63.07, 'median_age': 29.8}",
Maharashtra,2013,60+,Female,41,"{'population': 13331036, 'urban_pct': 39.21, 'rural_pct': 50.38, 'median_age': 32.2}",
MAHARASHTRA,2013,60+,Other,60,"{'population': 9653082, 'urban_pct': 74.3, 'rural_pct': 73.89, 'median_age': 33.6}",
Maharashtra,2014,<18,Male,54,"{'population': 1372802, 'urban_pct': 41.63, 'rural_pct': 59.14, 'median_age': 31.0}",
Maharashtra,2014,<18,Female,47,"{'population': 4484546, 'urban_pct': 75.06, 'rural_pct': 28.65, 'median_age': 28.4}",
Maharashtra,2014,<18,Other,57,"{'population': 9953303, 'urban_pct': 72.26, 'rural_pct': 66.29, 'median_age': 25.4}",
maharashtra,2014,18-25,Male,50,"{'population': 18750308, 'urban_pct': 45.6, 'rural_pct': 34.65, 'median_age': 24.2}",
MAHARASHTRA,2014,18-25,Female,57,"{'population': 12514587, 'urban_pct': 27.58, 'rural_pct': 73.63, 'median_age': 24.3}",
maharashtra,2014,18-25,Other,54,"{""population"": 15628233, ""urban_pct"": 83.66, ""rural_pct"": 68.85, ""median_age"": 28.9}",
Maharashtra,2014,26-35,Male,60,"{'population': 3946356, 'urban_pct': 26.8, 'rural_pct': 27.89, 'median_age': 25.6}",
maharashtra,2014,26-35,Female,47,"{'population': 5234928, 'urban_pct': 81.98, 'rural_pct': 44.16, 'median_age': 34.0}",
maharashtra,2014/01,26-35,Other,52,"{'population': 14971516, 'urban_pct': 86.54, 'rural_pct': 30.12, 'median_age': 25.2}",
Maharashtra,2014,36-45,Male,49,"{'population': 9307045, 'urban_pct': 33.29, 'rural_pct': 81.45, 'median_age': 34.2}",
MAHARASHTRA,2014,36-45,Female,45,"{'population': 1747133, 'urban_pct': 75.08, 'rural_pct': 72.95, 'median_age': 25.5}",
MAHARASHTRA,2014,36-45,Other,29,"{""population"": 7868138, ""urban_pct"": 43.0, ""rural_pct"": 79.67, ""median_age"": 34.8}",
maharashtra,2014/01,46-60,Male,57,"{""population"": 18176622, ""urban_pct"": 37.55, ""rural_pct"": 77.79, ""median_age"": 31.9}",
Maharashtra,2014,46-60,Female,41,"{'population': 8954256, 'urban_pct': 23.67, 'rural_pct': 38.08, 'median_age': 30.3}",
Maharashtra,2014,46-60,Other,56,"{'population': 15216785, 'urban_pct': 55.27, 'rural_pct': 23.82, 'median_age': 24.5}",
Maharashtra,2014,60+,Male,53,"{'population': 1095242, 'urban_pct': 24.26, 'rural_pct': 56.47, 'median_age': 28.8}",
Maharashtra,2014,60+,Female,34,"{'population': 10858279, 'urban_pct': 62.58, 'rural_pct': 85.4, 'median_age': 27.3}",
Maharashtra,2014,60+,Other,51,"{""population"": 15274163, ""urban_pct"": 55.39, ""rural_pct"": 59.89, ""median_age"": 33.5}",
maharashtra,2015,<18,Male,50,"{'population': 7264976, 'urban_pct': 50.1, 'rural_pct': 27.83, 'median_age': 29.0}",
Maharashtra,2015,<18,Female,57,"{""population"": 8602682, ""urban_pct"": 46.2, ""rural_pct"": 79.32, ""median_age"": 35.1}",
maharashtra,2015,<18,Other,49,"{'population': 12553953, 'urban_pct': 76.82, 'rural_pct': 51.05, 'median_age': 31.0}",
MAHARASHTRA,2015,18-25,Male,58,"{'population': 14241405, 'urban_pct': 80.77, 'rural_pct': 39.53, 'median_age': 35.6}",
Maharashtra,2015,18-25,Female,48,"{'population': 16229591, 'urban_pct': 35.7, 'rural_pct': 82.42, 'median_age': 34.1}",
maharashtra,2015,18-25,Other,42,"{'population': 18731086, 'urban_pct': 21.84, 'rural_pct': 24.96, 'median_age': 34.0}",
Maharashtra,2015/01,26-35,Male,51,"{'population': 11828391, 'urban_pct': 20.43, 'rural_pct': 29.11, 'median_age': 30.8}",
Maharashtra,2015,26-35,Female,53,"{'population': 17850045, 'urban_pct': 35.06, 'rural_pct': 60.61, 'median_age': 28.1}",
Maharashtra,2015,26-35,Other,51,"{""population"": 1815259, ""urban_pct"": 30.89, ""rural_pct"": 37.19, ""median_age"": 24.6}",
Maharashtra,2015,36-45,Male,48,"{'population': 14882541, 'urban_pct': 48.99, 'rural_pct': 74.91, 'median_age': 30.1}",
MAHARASHTRA,2015,36-45,Female,47,"{""population"": 10398837, ""urban_pct"": 23.18, ""rural_pct"": 62.33, ""median_age"": 31.2}",
MAHARASHTRA,2015,36-45,Other,33,"{'population': 8623811, 'urban_pct': 40.26, 'rural_pct': 81.6, 'median_age': 30.0}",
maharashtra,2015,46-60,Male,59,"{""population"": 11933878, ""urban_pct"": 25.05, ""rural_pct"": 29.68, ""median_age"": 24.5}",
Maharashtra,2015,46-60,Female,49,"{'population': 19290100, 'urban_pct': 48.31, 'rural_pct': 45.19, 'median_age': 27.5}",
maharashtra,2015,46-60,Other,50,"{'population': 12191761, 'urban_pct': 26.17, 'rural_pct': 30.89, 'median_age': 26.9}",
maharashtra,2015,60+,Male,42,"{""population"": 7484724, ""urban_pct"": 43.31, ""rural_pct"": 78.23, ""median_age"": 30.1}",
MAHARASHTRA,2015,60+,Female,48,"{'population': 5005648, 'urban_pct': 36.54, 'rural_pct': 79.75, 'median_age': 26.4}",
Maharashtra,2015,60+,Other,53,"{'population': 16629816, 'urban_pct': 52.48, 'rural_pct': 50.54, 'median_age': 31.0}",
Maharashtra,2016/01,<18,Male,47,"{'population': 10657861, 'urban_pct': 30.57, 'rural_pct': 85.22, 'median_age': 29.3}",
Maharashtra,2016,<18,Female,50,"{""population"": 15543506, ""urban_pct"": 51.63, ""rural_pct"": 86.02, ""median_age"": 34.0}",
Maharashtra,2016,<18,Other,53,"{'population': 17064372, 'urban_pct': 46.91, 'rural_pct': 49.38, 'median_age': 35.5}",
Maharashtra,2016,18-25,Male,37,"{'population': 10838647, 'urban_pct': 62.35, 'rural_pct': 54.9, 'median_age': 35.5}",
maharashtra,2016,18-25,Female,64,"{'population': 5840116, 'urban_pct': 22.74, 'rural_pct': 40.47, 'median_age': 35.9}",
Maharashtra,2016,18-25,Other,48,"{'population': 11403717, 'urban_pct': 67.52, 'rural_pct': 86.33, 'median_age': 31.6}",
Maharashtra,2016,26-35,Male,49,"{'population': 5095691, 'urban_pct': 43.34, 'rural_pct': 49.21, 'median_age': 25.7}",
Maharashtra,2016/01,26-35,Female,64,"{'population': 2892698, 'urban_pct': 41.67, 'rural_pct': 63.63, 'median_age': 33.5}",
MAHARASHTRA,2016,26-35,Other,43,"{'population': 14257160, 'urban_pct': 55.59, 'rural_pct': 88.72, 'median_age': 27.7}",
Maharashtra,2016/01,36-45,Male,39,"{'population': 4665927, 'urban_pct': 30.85, 'rural_pct': 69.29, 'median_age': 33.5}",
Maharashtra,2016,36-45,Female,39,"{'population': 11349937, 'urban_pct': 81.35, 'rural_pct': 46.74, 'median_age': 31.2}",
Maharashtra,2016,36-45,Other,37,"{'population': 5604572, 'urban_pct': 70.48, 'rural_pct': 86.94, 'median_age': 28.4}",
Maharashtra,2016,46-60,Male,58,"{'population': 8075163, 'urban_pct': 41.66, 'rural_pct': 33.4, 'median_age': 29.6}",
maharashtra,2016/01,46-60,Female,57,"{'population': 9504690, 'urban_pct': 74.47, 'rural_pct': 54.8, 'median_age': 29.0}",
MAHARASHTRA,2016,46-60,Other,40,"{'population': 16175946, 'urban_pct': 81.19, 'rural_pct': 51.18, 'median_age': 25.2}",
Maharashtra,2016,60+,Male,53,"{'population': 17275259, 'urban_pct': 30.31, 'rural_pct': 59.38, 'median_age': 35.4}",
maharashtra,2016,60+,Female,55,"{'population': 13352787, 'urban_pct': 55.14, 'rural_pct': 73.5, 'median_age': 35.9}",
Maharashtra,2016/01,60+,Other,45,"{'population': 4667076, 'urban_pct': 22.68, 'rural_pct': 25.78, 'median_age': 29.7}",
maharashtra,2017,<18,Male,55,"{'population': 2708375, 'urban_pct': 21.33, 'rural_pct': 74.9, 'median_age': 25.8}",
Maharashtra,2017,<18,Female,47,"{'population': 4138552, 'urban_pct': 23.34, 'rural_pct': 60.61, 'median_age': 33.5}",
Maharashtra,2017,<18,Other,47,"{""population"": 17343139, ""urban_pct"": 60.25, ""rural_pct"": 39.7, ""median_age"": 27.5}",
Maharashtra,2017,18-25,Male,59,"{'population': 2922727, 'urban_pct': 56.64, 'rural_pct': 64.76, 'median_age': 35.4}",
MAHARASHTRA,2017,18-25,Female,55,"{'population': 15825115, 'urban_pct': 23.05, 'rural_pct': 62.92, 'median_age': 28.5}",
MAHARASHTRA,2017,18-25,Other,50,"{""population"": 3528382, ""urban_pct"": 74.01, ""rural_pct"": 38.54, ""median_age"": 28.0}",
Maharashtra,2017/01,26-35,Male,46,"{""population"": 15640157, ""urban_pct"": 88.66, ""rural_pct"": 56.5, ""median_age"": 26.2}",
Maharashtra,2017,26-35,Female,48,"{'population': 6814271, 'urban_pct': 23.07, 'rural_pct': 76.04, 'median_age': 24.5}",
Maharashtra,2017,26-35,Other,61,"{'population': 1278789, 'urban_pct': 72.73, 'rural_pct': 76.62, 'median_age': 28.3}",
Maharashtra,2017,36-45,Male,66,"{'population': 14711655, 'urban_pct': 82.26, 'rural_pct': 37.97, 'median_age': 34.7}",
maharashtra,2017,36-45,Female,53,"{'population': 17474006, 'urban_pct': 38.67, 'rural_pct': 84.22, 'median_age': 29.1}",
Maharashtra,2017/01,36-45,Other,45,"{'population': 2736666, 'urban_pct': 42.95, 'rural_pct': 69.31, 'median_age': 29.4}",
Maharashtra,2017,46-60,Male,54,"{'population': 11879927, 'urban_pct': 63.04, 'rural_pct': 59.55, 'median_age': 31.7}",
maharashtra,2017,46-60,Female,39,"{'population': 5418263, 'urban_pct': 86.7, 'rural_pct': 80.01, 'median_age': 31.3}",
MAHARASHTRA,2017,46-60,Other,35,"{'population': 19083571, 'urban_pct': 22.27, 'rural_pct': 79.26, 'median_age': 29.4}",
Maharashtra,2017,60+,Male,49,"{""population"": 13405806, ""urban_pct"": 42.01, ""rural_pct"": 70.49, ""median_age"": 35.5}",
Maharashtra,2017,60+,Female,47,"{'population': 18896608, 'urban_pct': 28.24, 'rural_pct': 35.75, 'median_age': 32.4}",
maharashtra,2017,60+,Other,41,"{'population': 4604289, 'urban_pct': 79.7, 'rural_pct': 58.36, 'median_age': 34.8}",
MAHARASHTRA,2018,<18,Male,52,"{'population': 2228993, 'urban_pct': 58.5, 'rural_pct': 69.67, 'median_age': 27.6}",
Maharashtra,2018,<18,Female,38,"{'population': 17121010, 'urban_pct': 35.7, 'rural_pct': 21.04, 'median_age': 33.5}",
Maharashtra,2018,<18,Other,54,"{'population': 18560199, 'urban_pct': 29.08, 'rural_pct': 28.1, 'median_age': 24.8}",
Maharashtra,2018,18-25,Male,47,"{'population': 19340460, 'urban_pct': 25.16, 'rural_pct': 21.93, 'median_age': 31.7}",
maharashtra,2018,18-25,Female,47,"{'population': 6155669, 'urban_pct': 73.74, 'rural_pct': 80.97, 'median_age': 30.0}",
MAHARASHTRA,2018,18-25,Other,56,"{'population': 10876698, 'urban_pct': 85.43, 'rural_pct': 74.22, 'median_age': 35.4}",
Maharashtra,2018,26-35,Male,48,"{""population"": 18533170, ""urban_pct"": 39.21, ""rural_pct"": 46.25, ""median_age"": 31.4}",
Maharashtra,2018,26-35,Female,40,"{'population': 5223901, 'urban_pct': 31.98, 'rural_pct': 46.29, 'median_age': 34.8}",
Maharashtra,2018,26-35,Other,35,"{'population': 19403231, 'urban_pct': 38.53, 'rural_pct': 75.24, 'median_age': 30.9}",
Maharashtra,2018,36-45,Male,40,"{'population': 10186596, 'urban_pct': 53.81, 'rural_pct': 33.67, 'median_age': 32.2}",
Maharashtra,2018,36-45,Female,55,"{'population': 15634092, 'urban_pct': 34.28, 'rural_pct': 47.53, 'median_age': 27.8}",
MAHARASHTRA,2018/01,36-45,Other,69,"{""population"": 12483265, ""urban_pct"": 56.05, ""rural_pct"": 82.57, ""median_age"": 26.9}",
Maharashtra,2018,46-60,Male,45,"{'population': 9787898, 'urban_pct': 86.18, 'rural_pct': 29.51, 'median_age': 29.0}",
Maharashtra,2018,46-60,Female,37,"{'population': 6419775, 'urban_pct': 73.42, 'rural_pct': 55.12, 'median_age': 30.2}",
maharashtra,2018,46-60,Other,53,"{'population': 7269048, 'urban_pct': 60.83, 'rural_pct': 86.59, 'median_age': 27.4}",
Maharashtra,2018,60+,Male,49,"{'population': 3657003, 'urban_pct': 50.16, 'rural_pct': 28.23, 'median_age': 32.7}",
Maharashtra,2018,60+,Female,52,"{'population': 12214279, 'urban_pct': 58.73, 'rural_pct': 84.85, 'median_age': 30.1}",
Maharashtra,2018,60+,Other,33,"{'population': 3294092, 'urban_pct': 47.57, 'rural_pct': 34.36, 'median_age': 28.1}",
Maharashtra,2019,<18,Male,49,"{'population': 1400730, 'urban_pct': 23.17, 'rural_pct': 80.41, 'median_age': 28.0}",
Maharashtra,2019,<18,Female,45,"{'population': 10738094, 'urban_pct': 31.38, 'rural_pct': 20.66, 'median_age': 32.9}",
Maharashtra,2019,<18,Other,49,"{'population': 18938603, 'urban_pct': 40.99, 'rural_pct': 32.9, 'median_age': 28.4}",
MAHARASHTRA,2019,18-25,Male,52,"{'population': 8959722, 'urban_pct': 87.69, 'rural_pct': 35.2, 'median_age': 33.3}",
